"","trial_num","trial_type","trial_time_in_seconds","item_presentation_condition","agent","object","property","item_name","n_examples","speaker","background","slider_response","slider_time_in_seconds","worker_id"
"1",1,"trial",16.13,"accidental","Bear","bird","green feathers","blicket",1,"mh",8,0.87,10.585,"35a1498a0a0d900618fcb2f686976767"
"2",2,"trial",16.397,"accidental","Monkey","artifact","squeaking","dax",1,"sb",3,0.92,5.108,"35a1498a0a0d900618fcb2f686976767"
"3",3,"trial",15.115,"accidental","Dog","flower","purple petals","fep",1,"tg",6,0.5,3.3,"35a1498a0a0d900618fcb2f686976767"
"4",1,"trial",14.401,"accidental","Monkey","artifact","squeaking","blicket",1,"sb",10,0.71,5.08,"854335ed9ab23a78a571c81462eabda3"
"5",2,"trial",21.643,"accidental","Dog","bird","green feathers","fep",1,"mh",6,0.53,4.006,"854335ed9ab23a78a571c81462eabda3"
"6",3,"trial",15.671,"accidental","Sheep","flower","purple petals","dax",1,"tg",2,0.52,2.345,"854335ed9ab23a78a571c81462eabda3"
"7",1,"trial",15.284,"pedagogical","Cat","artifact","squeaking","blicket",1,"tg",3,0.75,3.324,"2c3632c3adb774d150b4e8a00751a0e7"
"8",2,"trial",15.689,"pedagogical","Pig","flower","purple petals","fep",1,"mh",1,0.64,3.608,"2c3632c3adb774d150b4e8a00751a0e7"
"9",3,"trial",15.864,"pedagogical","Dog","bird","green feathers","dax",1,"sb",9,0.7,2.501,"2c3632c3adb774d150b4e8a00751a0e7"
"10",1,"trial",15.57,"accidental","Elephant","artifact","squeaking","fep",1,"tg",3,0.97,10.87,"eb2d2f4e95e2ca6f8967e6c8aba61a01"
"11",2,"trial",18.781,"accidental","Tiger","flower","purple petals","dax",1,"sb",10,0.92,6.235,"eb2d2f4e95e2ca6f8967e6c8aba61a01"
"12",3,"trial",16.213,"accidental","Cat","bird","green feathers","blicket",1,"mh",8,0.95,7.513,"eb2d2f4e95e2ca6f8967e6c8aba61a01"
"13",1,"trial",15.184,"pedagogical","Dog","bird","green feathers","blicket",1,"sb",4,0.73,5.669,"ce2364de063c35393fb5aa9b0a3d0859"
"14",2,"trial",14.95,"pedagogical","Monkey","flower","purple petals","fep",1,"mh",2,0.73,3.256,"ce2364de063c35393fb5aa9b0a3d0859"
"15",3,"trial",14.426,"pedagogical","Cat","artifact","squeaking","dax",1,"tg",10,0.62,1.753,"ce2364de063c35393fb5aa9b0a3d0859"
"16",1,"trial",19.689,"pedagogical","Monkey","bird","green feathers","fep",1,"mh",9,0.97,4.95,"657a4f4592689a35b70c01ba1b9194b1"
"17",2,"trial",21.742,"pedagogical","Dog","flower","purple petals","blicket",1,"tg",7,0.95,11.322,"657a4f4592689a35b70c01ba1b9194b1"
"18",3,"trial",21.464,"pedagogical","Tiger","artifact","squeaking","dax",1,"sb",1,0.86,5.691,"657a4f4592689a35b70c01ba1b9194b1"
"19",1,"trial",16.202,"accidental","Monkey","bird","green feathers","fep",1,"sb",7,0.93,6.189,"b0ac21ebefae1a31131a2f7ceaf8f36f"
"20",2,"trial",19.457,"accidental","Pig","flower","purple petals","blicket",1,"mh",1,0.52,11.461,"b0ac21ebefae1a31131a2f7ceaf8f36f"
"21",3,"trial",15.904,"accidental","Sheep","artifact","squeaking","dax",1,"tg",8,0.98,2.462,"b0ac21ebefae1a31131a2f7ceaf8f36f"
"22",1,"trial",21.567,"accidental","Dog","bird","green feathers","dax",1,"mh",6,1,14.093,"0921339ab250b0023efeabcc1188b66c"
"23",2,"trial",17.372,"accidental","Sheep","artifact","squeaking","blicket",1,"sb",4,1,5.041,"0921339ab250b0023efeabcc1188b66c"
"24",3,"trial",17.137,"accidental","Elephant","flower","purple petals","fep",1,"tg",2,0.95,3.725,"0921339ab250b0023efeabcc1188b66c"
"25",1,"trial",17,"pedagogical","Sheep","bird","green feathers","dax",1,"mh",5,0.55,2.968,"245c80ce1fface84645a1b78573e0a4e"
"26",2,"trial",51.25,"pedagogical","Monkey","artifact","squeaking","blicket",1,"tg",6,0.14,2.824,"245c80ce1fface84645a1b78573e0a4e"
"27",3,"trial",24.648,"pedagogical","Pig","flower","purple petals","fep",1,"sb",8,0.82,2.03,"245c80ce1fface84645a1b78573e0a4e"
"28",1,"trial",17.58,"accidental","Cat","flower","purple petals","dax",1,"tg",3,0.64,7.828,"1c2ca076eb0f55dd41f37be4bcc49d0c"
"29",2,"trial",18.195,"accidental","Monkey","artifact","squeaking","blicket",1,"mh",7,0.44,4.784,"1c2ca076eb0f55dd41f37be4bcc49d0c"
"30",3,"trial",16.585,"accidental","Sheep","bird","green feathers","fep",1,"sb",5,0.65,11.073,"1c2ca076eb0f55dd41f37be4bcc49d0c"
"31",1,"trial",17.391,"pedagogical","Cat","bird","green feathers","blicket",1,"sb",1,0.51,7.01,"0aa6a26038d5abcba6fa0c26a9152df7"
"32",2,"trial",26.128,"pedagogical","Elephant","flower","purple petals","dax",1,"mh",9,0.51,10.254,"0aa6a26038d5abcba6fa0c26a9152df7"
"33",3,"trial",14.527,"pedagogical","Tiger","artifact","squeaking","fep",1,"tg",8,0.52,5.221,"0aa6a26038d5abcba6fa0c26a9152df7"
"34",1,"trial",27.451,"accidental","Tiger","artifact","squeaking","blicket",1,"sb",7,0.81,11.955,"918a84eca9a8653015ef21b566110736"
"35",2,"trial",20.054,"accidental","Cat","flower","purple petals","dax",1,"tg",10,0.27,11.119,"918a84eca9a8653015ef21b566110736"
"36",3,"trial",19.933,"accidental","Elephant","bird","green feathers","fep",1,"mh",1,0.95,9.274,"918a84eca9a8653015ef21b566110736"
"37",1,"trial",17.521,"pedagogical","Tiger","artifact","squeaking","dax",1,"sb",2,0.76,6.069,"ed5c0d0a2ccb02c31beb91cbaa7d479b"
"38",2,"trial",17.509,"pedagogical","Elephant","flower","purple petals","blicket",1,"tg",8,0.72,3.714,"ed5c0d0a2ccb02c31beb91cbaa7d479b"
"39",3,"trial",17.104,"pedagogical","Monkey","bird","green feathers","fep",1,"mh",9,0.69,3.699,"ed5c0d0a2ccb02c31beb91cbaa7d479b"
"40",1,"trial",23.338,"pedagogical","Elephant","flower","purple petals","fep",1,"sb",7,0.93,6.727,"6e967720de1e00c8e392272372cca646"
"41",2,"trial",18.495,"pedagogical","Bear","artifact","squeaking","dax",1,"tg",2,0.94,4.416,"6e967720de1e00c8e392272372cca646"
"42",3,"trial",16.569,"pedagogical","Dog","bird","green feathers","blicket",1,"mh",4,0.93,3.014,"6e967720de1e00c8e392272372cca646"
"43",1,"trial",16.822,"pedagogical","Cat","flower","purple petals","fep",1,"mh",9,0.67,14.629,"28554551f951aa45cc26630df4eca145"
"44",2,"trial",15.119,"pedagogical","Monkey","artifact","squeaking","blicket",1,"tg",10,0.77,3.618,"28554551f951aa45cc26630df4eca145"
"45",3,"trial",16.285,"pedagogical","Pig","bird","green feathers","dax",1,"sb",7,0.89,2.615,"28554551f951aa45cc26630df4eca145"
"46",1,"trial",19.193,"pedagogical","Bear","flower","purple petals","blicket",1,"mh",3,0.83,3.767,"53f1de2bd6d6190c23eeb4378af5a6e9"
"47",2,"trial",20.292,"pedagogical","Pig","bird","green feathers","fep",1,"sb",7,0.61,2.843,"53f1de2bd6d6190c23eeb4378af5a6e9"
"48",3,"trial",22.33,"pedagogical","Sheep","artifact","squeaking","dax",1,"tg",10,0.47,2.125,"53f1de2bd6d6190c23eeb4378af5a6e9"
"49",1,"trial",17.835,"accidental","Monkey","artifact","squeaking","fep",1,"mh",6,1,7.394,"3fe374f72347d8a6a5b480fb3bb0b32f"
"50",2,"trial",17.411,"accidental","Tiger","flower","purple petals","blicket",1,"tg",3,0.98,2.463,"3fe374f72347d8a6a5b480fb3bb0b32f"
"51",3,"trial",16.526,"accidental","Elephant","bird","green feathers","dax",1,"sb",2,0.86,5.285,"3fe374f72347d8a6a5b480fb3bb0b32f"
"52",1,"trial",15.627,"accidental","Monkey","artifact","squeaking","fep",1,"mh",8,0.86,5.511,"6683b88ed6e7e73261c3185fe16f6aeb"
"53",2,"trial",18.058,"accidental","Dog","flower","purple petals","dax",1,"sb",7,0.81,4.319,"6683b88ed6e7e73261c3185fe16f6aeb"
"54",3,"trial",15.562,"accidental","Elephant","bird","green feathers","blicket",1,"tg",1,0.59,2.88,"6683b88ed6e7e73261c3185fe16f6aeb"
"55",1,"trial",28.024,"pedagogical","Sheep","bird","green feathers","dax",1,"mh",1,0.78,3.104,"3576d0837bde67f8b00fdef21538fefc"
"56",2,"trial",22.689,"pedagogical","Dog","flower","purple petals","fep",1,"tg",7,0.98,2.943,"3576d0837bde67f8b00fdef21538fefc"
"57",3,"trial",39.028,"pedagogical","Monkey","artifact","squeaking","blicket",1,"sb",5,0.64,2.473,"3576d0837bde67f8b00fdef21538fefc"
"58",1,"trial",19.098,"pedagogical","Sheep","flower","purple petals","blicket",1,"sb",9,0.9,6.31,"a93957755e2a4ce8fd7744061f517e2e"
"59",2,"trial",16.552,"pedagogical","Bear","bird","green feathers","dax",1,"tg",4,0.79,2.495,"a93957755e2a4ce8fd7744061f517e2e"
"60",3,"trial",15.257,"pedagogical","Elephant","artifact","squeaking","fep",1,"mh",2,0.84,1.87,"a93957755e2a4ce8fd7744061f517e2e"
"61",1,"trial",15.242,"accidental","Bear","bird","green feathers","dax",1,"sb",2,0.19,7.515,"f6c8280ef59d5b5e8f6fe6f854de347e"
"62",2,"trial",15.08,"accidental","Monkey","artifact","squeaking","fep",1,"mh",10,0.22,3.802,"f6c8280ef59d5b5e8f6fe6f854de347e"
"63",3,"trial",14.987,"accidental","Cat","flower","purple petals","blicket",1,"tg",5,0.19,2.442,"f6c8280ef59d5b5e8f6fe6f854de347e"
"64",1,"trial",18.51,"pedagogical","Tiger","bird","green feathers","dax",1,"mh",7,0.99,8.818,"f6b5078ef235dc70c3fa25917af9a981"
"65",2,"trial",16.337,"pedagogical","Elephant","artifact","squeaking","blicket",1,"tg",6,0.99,4.698,"f6b5078ef235dc70c3fa25917af9a981"
"66",3,"trial",15.913,"pedagogical","Monkey","flower","purple petals","fep",1,"sb",2,0.99,3.179,"f6b5078ef235dc70c3fa25917af9a981"
"67",1,"trial",19.288,"pedagogical","Monkey","bird","green feathers","dax",1,"sb",7,0.89,7.01,"880dbd5470cf6299f2c81c41a9d44e3c"
"68",2,"trial",16.088,"pedagogical","Pig","flower","purple petals","fep",1,"mh",2,0.82,3.807,"880dbd5470cf6299f2c81c41a9d44e3c"
"69",3,"trial",15.745,"pedagogical","Elephant","artifact","squeaking","blicket",1,"tg",10,0.83,6.909,"880dbd5470cf6299f2c81c41a9d44e3c"
"70",1,"trial",16.883,"pedagogical","Tiger","artifact","squeaking","dax",1,"tg",5,0.95,4.082,"d9af565b6ee216158e0c0b6c71f02b87"
"71",2,"trial",16.097,"pedagogical","Sheep","bird","green feathers","blicket",1,"sb",9,0.99,5.623,"d9af565b6ee216158e0c0b6c71f02b87"
"72",3,"trial",16.832,"pedagogical","Dog","flower","purple petals","fep",1,"mh",1,0.21,2.273,"d9af565b6ee216158e0c0b6c71f02b87"
"73",1,"trial",21.247,"accidental","Pig","artifact","squeaking","blicket",1,"sb",6,0.75,4.838,"92f1867f06059079218315bb85d7d3f8"
"74",2,"trial",21.338,"accidental","Elephant","flower","purple petals","dax",1,"mh",5,1,2.933,"92f1867f06059079218315bb85d7d3f8"
"75",3,"trial",21.95,"accidental","Tiger","bird","green feathers","fep",1,"tg",9,0.55,2.323,"92f1867f06059079218315bb85d7d3f8"
"76",1,"trial",22.802,"accidental","Tiger","bird","green feathers","dax",1,"mh",8,0.15,5.726,"2ffe83dd15de4a2a903f4930ab726931"
"77",2,"trial",15.87,"accidental","Elephant","flower","purple petals","fep",1,"sb",9,0.27,4.027,"2ffe83dd15de4a2a903f4930ab726931"
"78",3,"trial",15.547,"accidental","Cat","artifact","squeaking","blicket",1,"tg",10,0.11,3.603,"2ffe83dd15de4a2a903f4930ab726931"
"79",1,"trial",40.591,"accidental","Elephant","bird","green feathers","blicket",1,"sb",10,0.71,8.481,"1b012c7dcb1bbbaed85c149dd2b7df07"
"80",2,"trial",32.676,"accidental","Pig","artifact","squeaking","dax",1,"mh",7,0.75,2.184,"1b012c7dcb1bbbaed85c149dd2b7df07"
"81",3,"trial",21.722,"accidental","Cat","flower","purple petals","fep",1,"tg",1,0.75,2.232,"1b012c7dcb1bbbaed85c149dd2b7df07"
"82",1,"trial",21.891,"pedagogical","Monkey","bird","green feathers","fep",1,"sb",6,0.98,11.301,"42c28724455f0ca3f05c0c84cf9f97a2"
"83",2,"trial",18.487,"pedagogical","Sheep","artifact","squeaking","dax",1,"mh",4,0.98,4.855,"42c28724455f0ca3f05c0c84cf9f97a2"
"84",3,"trial",17.944,"pedagogical","Bear","flower","purple petals","blicket",1,"tg",1,0.98,6.494,"42c28724455f0ca3f05c0c84cf9f97a2"
"85",1,"trial",17.157,"pedagogical","Cat","bird","green feathers","fep",1,"tg",10,0.83,6.931,"9cc67a6a4be82cdc95c27c283e06c6b2"
"86",2,"trial",15.888,"pedagogical","Dog","flower","purple petals","dax",1,"mh",6,0.88,3.724,"9cc67a6a4be82cdc95c27c283e06c6b2"
"87",3,"trial",36.498,"pedagogical","Monkey","artifact","squeaking","blicket",1,"sb",2,0.76,2.888,"9cc67a6a4be82cdc95c27c283e06c6b2"
"88",1,"trial",14.647,"pedagogical","Sheep","artifact","squeaking","fep",1,"mh",8,1,3.687,"65aed64a28a1ab1ec7c3a16f1d9be59a"
"89",2,"trial",16.968,"pedagogical","Pig","bird","green feathers","dax",1,"tg",4,0.86,3.166,"65aed64a28a1ab1ec7c3a16f1d9be59a"
"90",3,"trial",15.238,"pedagogical","Dog","flower","purple petals","blicket",1,"sb",9,1,2.823,"65aed64a28a1ab1ec7c3a16f1d9be59a"
"91",1,"trial",15.463,"pedagogical","Bear","bird","green feathers","fep",1,"tg",1,0.61,4.927,"f47be346a6df029cd6dff3820892eccb"
"92",2,"trial",16.105,"pedagogical","Elephant","flower","purple petals","blicket",1,"sb",5,0.45,2.453,"f47be346a6df029cd6dff3820892eccb"
"93",3,"trial",15.268,"pedagogical","Dog","artifact","squeaking","dax",1,"mh",4,0.81,3.102,"f47be346a6df029cd6dff3820892eccb"
"94",1,"trial",17.268,"pedagogical","Elephant","flower","purple petals","fep",1,"sb",2,0.96,6.834,"05c8c19439d9467366bc4d969691fe6e"
"95",2,"trial",18.093,"pedagogical","Tiger","bird","green feathers","dax",1,"tg",9,0.98,4.55,"05c8c19439d9467366bc4d969691fe6e"
"96",3,"trial",17.654,"pedagogical","Monkey","artifact","squeaking","blicket",1,"mh",6,0.99,4.574,"05c8c19439d9467366bc4d969691fe6e"
"97",1,"trial",26.585,"accidental","Dog","bird","green feathers","dax",1,"tg",2,0.21,12.221,"502c58a95541c530b0f3bd32499df432"
"98",2,"trial",21.188,"accidental","Cat","flower","purple petals","blicket",1,"mh",4,0.11,6.527,"502c58a95541c530b0f3bd32499df432"
"99",3,"trial",17.151,"accidental","Sheep","artifact","squeaking","fep",1,"sb",7,0.08,6.844,"502c58a95541c530b0f3bd32499df432"
