"","workerid","proliferate.condition","age","assess","comments","education","fairprice","gender","language","problems","error"
"1",15,"accidental-1",44,"Yes","",4,"","Female","English","",NA
"2",34,"accidental-1",26,"Yes","",3,".65 pounds","Female","English","No",NA
"3",17,"accidental-1",20,"Yes","No",0,"0.50","Male","English","No",NA
"4",20,"accidental-1",20,"Yes","",2,"yes","Female","english","no",NA
"5",30,"accidental-1",61,"Yes","",4,"50 cents","Male","English","no",NA
"6",27,"accidental-1",25,"Yes","",4,"$.50","Female","English","no",NA
"7",26,"accidental-1",20,"Yes","Why is the researcher a sheep?",2,"0.85","Female","English","no",NA
"8",32,"accidental-1",32,"Yes","",2,"0.50","Female","english","",NA
"9",24,"accidental-1",27,"Yes","",3,"Yes","Female","English","No",NA
"10",22,"accidental-1",29,"Yes","",3,"0.25","Female","English","No",NA
"11",19,"pedagogical-1",22,"Yes","No.",3,"$2.00","Male","English","No.",NA
"12",31,"pedagogical-1",60,"Yes","Might give me some new ideas for a story! ",2,"$1.00","Female","","no",NA
"13",33,"pedagogical-1",18,"Confused","",2,"$.84","Female","English ","No",NA
"14",21,"pedagogical-1",28,"Yes","No",3,"Yes","Female","English","No",NA
"15",23,"pedagogical-1",28,"Yes","",3,"$0.50","Female","English","no",NA
"16",25,"pedagogical-1",18,"Confused","",1,"","Male","Polish","",NA
"17",35,"pedagogical-1",26,"Yes","",4,"$0.5","Male","English","",NA
"18",29,"pedagogical-1",22,"","",3,"","Female","English","No",NA
"20",18,"pedagogical-1",37,"Yes","--",3,"current price seems fair","Other","English","no",NA
"21",28,"pedagogical-1",25,"Yes","At the start, I thought the blicket was referring to the cloth covering the flower",3,"$1","Female","Chinese","",NA
