"","workerid","proliferate.condition","Browser","OS","screenH","screenW","error"
"1",15,"accidental-1","Firefox","Windows",1080,1920,NA
"2",34,"accidental-1","Chrome","Windows",864,1536,NA
"3",17,"accidental-1","Chrome","Windows",1080,1920,NA
"4",20,"accidental-1","Chrome","Mac",900,1440,NA
"5",30,"accidental-1","Firefox","Windows",768,1366,NA
"6",27,"accidental-1","Safari","Mac",800,1280,NA
"7",26,"accidental-1","Chrome","Windows",864,1536,NA
"8",32,"accidental-1","Chrome","Linux",1280,800,NA
"9",24,"accidental-1","Chrome","Windows",800,1280,NA
"10",22,"accidental-1","Chrome","Mac",1080,1920,NA
"11",19,"pedagogical-1","Chrome","Windows",864,1536,NA
"12",31,"pedagogical-1","Firefox","Windows",800,1280,NA
"13",33,"pedagogical-1","Safari","iPhone/iPod",667,375,NA
"14",21,"pedagogical-1","Chrome","Windows",1728,3072,NA
"15",23,"pedagogical-1","Chrome","Windows",1080,2560,NA
"16",25,"pedagogical-1","Chrome","Windows",1080,1920,NA
"17",35,"pedagogical-1","Firefox","Windows",1080,1920,NA
"18",29,"pedagogical-1","Chrome","Linux",640,360,NA
"20",18,"pedagogical-1","Safari","Mac",900,1440,NA
"21",28,"pedagogical-1","Safari","iPhone/iPod",896,414,NA
