"","workerid","proliferate.condition.x","agent","background","item_name","item_presentation_condition","n_examples","object","property","speaker","trial_num.x","trial_time_in_seconds.x","trial_type","error.x","proliferate.condition.y","correct_answer","is_correct","prompt","response","response_time_in_seconds","response_type","trial_num.y","trial_time_in_seconds.y","error.y"
"3",15,"accidental-1","",NA,"","",NA,"","","",0,4.763,"introduction",NA,"accidental-1",NA,"True","Imagine that you come across another blicket. What are the chances that it has purple petals?",0.48,8.089,"slider",1,25.24,NA
"4",15,"accidental-1","Dog",4,"blicket","accidental",1,"flower","purple petals","mh",1,NA,"trial",NA,"accidental-1",NA,"True","Imagine that you come across another blicket. What are the chances that it has purple petals?",0.48,8.089,"slider",1,25.24,NA
"5",17,"accidental-1","",NA,"","",NA,"","","",0,16.911,"introduction",NA,"accidental-1",NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",0.48,26.676,"slider",1,26.848,NA
"6",17,"accidental-1","Pig",3,"dax","accidental",1,"flower","purple petals","mh",1,NA,"trial",NA,"accidental-1",NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",0.48,26.676,"slider",1,26.848,NA
"7",18,"pedagogical-1","",NA,"","",NA,"","","",0,8.155,"introduction",NA,"pedagogical-1",NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",0.7,16.092,"slider",1,30.176,NA
"8",18,"pedagogical-1","Tiger",4,"dax","pedagogical",1,"flower","purple petals","tg",1,NA,"trial",NA,"pedagogical-1",NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",0.7,16.092,"slider",1,30.176,NA
"9",19,"pedagogical-1","",NA,"","",NA,"","","",0,5.19,"introduction",NA,"pedagogical-1",NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.99,6.43,"slider",1,23.988,NA
"10",19,"pedagogical-1","Cat",3,"fep","pedagogical",1,"artifact","squeaking","sb",1,NA,"trial",NA,"pedagogical-1",NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.99,6.43,"slider",1,23.988,NA
"11",20,"accidental-1","",NA,"","",NA,"","","",0,6.161,"introduction",NA,"accidental-1",NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.87,4.661,"slider",1,24.564,NA
"12",20,"accidental-1","Cat",10,"blicket","accidental",1,"artifact","squeaking","sb",1,NA,"trial",NA,"accidental-1",NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.87,4.661,"slider",1,24.564,NA
"13",21,"pedagogical-1","",NA,"","",NA,"","","",0,9.042,"introduction",NA,"pedagogical-1",NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",0.9,5.853,"slider",1,24.426,NA
"14",21,"pedagogical-1","Tiger",6,"dax","pedagogical",1,"flower","purple petals","sb",1,NA,"trial",NA,"pedagogical-1",NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",0.9,5.853,"slider",1,24.426,NA
"15",22,"accidental-1","",NA,"","",NA,"","","",0,9.082,"introduction",NA,"accidental-1",NA,"True","Imagine that you come across another blicket. What are the chances that it has purple petals?",0.73,14.175,"slider",1,26.212,NA
"16",22,"accidental-1","Dog",7,"blicket","accidental",1,"flower","purple petals","mh",1,NA,"trial",NA,"accidental-1",NA,"True","Imagine that you come across another blicket. What are the chances that it has purple petals?",0.73,14.175,"slider",1,26.212,NA
"17",23,"pedagogical-1","",NA,"","",NA,"","","",0,2.802,"introduction",NA,"pedagogical-1",NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.99,4.619,"slider",1,21.884,NA
"18",23,"pedagogical-1","Sheep",10,"blicket","pedagogical",1,"artifact","squeaking","mh",1,NA,"trial",NA,"pedagogical-1",NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.99,4.619,"slider",1,21.884,NA
"19",24,"accidental-1","",NA,"","",NA,"","","",0,4.342,"introduction",NA,"accidental-1",NA,"True","Imagine that you come across another blicket. What are the chances that it has green feathers?",0.57,6.49,"slider",1,31.455,NA
"20",24,"accidental-1","Tiger",5,"blicket","accidental",1,"bird","green feathers","tg",1,NA,"trial",NA,"accidental-1",NA,"True","Imagine that you come across another blicket. What are the chances that it has green feathers?",0.57,6.49,"slider",1,31.455,NA
