"","workerid","proliferate.condition","Browser","OS","screenH","screenW","error"
"1",96,"pedagogical-2","Chrome","Mac",1152,2048,NA
"2",116,"pedagogical-2","Chrome","Windows",1080,1920,NA
"3",112,"pedagogical-2","Firefox","Windows",1080,1920,NA
"4",128,"pedagogical-2","Chrome","Windows",768,1366,NA
"5",64,"pedagogical-2","Chrome","Windows",900,1600,NA
"6",100,"pedagogical-2","Chrome","Windows",1440,2560,NA
"7",88,"pedagogical-2","Chrome","Windows",1080,1920,NA
"8",52,"pedagogical-2","Safari","an unknown OS",1080,810,NA
"9",56,"pedagogical-2","Safari","iPhone/iPod",667,375,NA
"10",72,"pedagogical-2","Chrome","Windows",900,1600,NA
"11",80,"pedagogical-2","Firefox","Windows",768,1366,NA
"12",120,"pedagogical-2","Chrome","Linux",786,393,NA
"13",92,"pedagogical-2","Chrome","Windows",1200,1920,NA
"14",60,"pedagogical-2","Chrome","Windows",1080,1920,NA
"15",108,"pedagogical-2","Chrome","Linux",720,360,NA
"16",76,"pedagogical-2","Firefox","Windows",768,1366,NA
"17",104,"pedagogical-2","Chrome","Mac",900,1440,NA
"18",84,"pedagogical-2","Firefox","Mac",800,1280,NA
"19",124,"pedagogical-2","Firefox","Mac",1080,1920,NA
"20",67,"naive-2","Chrome","Mac",900,1440,NA
"21",99,"naive-2","Chrome","Mac",900,1440,NA
"22",126,"naive-2","Chrome","Windows",864,1536,NA
"23",89,"naive-2","Chrome","Windows",768,1366,NA
"24",123,"naive-2","Chrome","Windows",1080,1920,NA
"25",51,"naive-2","Safari","iPhone/iPod",812,375,NA
"26",71,"naive-2","Firefox","Windows",864,1536,NA
"27",87,"naive-2","Chrome","Windows",960,1536,NA
"28",103,"naive-2","Chrome","Windows",1080,1920,NA
"29",82,"naive-2","Chrome","Mac",800,1280,NA
"30",63,"naive-2","Chrome","Windows",768,1366,NA
"31",59,"naive-2","Firefox","Windows",864,1536,NA
"32",118,"naive-2","Firefox","Windows",1080,1920,NA
"33",55,"naive-2","Chrome","Windows",1080,1920,NA
"34",105,"naive-2","Chrome","Windows",720,1280,NA
"35",115,"naive-2","Chrome","Windows",900,1600,NA
"36",79,"naive-2","Chrome","Windows",720,1280,NA
"37",94,"naive-2","Safari","iPhone/iPod",896,414,NA
"38",74,"naive-2","Chrome","Windows",1152,2048,NA
"39",111,"naive-2","Firefox","Windows",768,1366,NA
"40",119,"naive-1","Chrome","Windows",1080,1920,NA
"41",98,"naive-1","Chrome","Mac",720,1152,NA
"42",83,"naive-1","Chrome","Linux",864,1536,NA
"43",91,"naive-1","Chrome","Windows",768,1366,NA
"44",54,"naive-1","Firefox","Windows",768,1366,NA
"45",114,"naive-1","Chrome","Windows",1080,1920,NA
"46",95,"naive-1","Chrome","Windows",1080,1920,NA
"47",62,"naive-1","Chrome","Mac",900,1440,NA
"48",110,"naive-1","Chrome","Windows",768,1366,NA
"49",78,"naive-1","Chrome","Windows",864,1536,NA
"50",70,"naive-1","Safari","iPhone/iPod",736,414,NA
"51",122,"naive-1","Chrome","Windows",1080,1920,NA
"52",86,"naive-1","Chrome","Linux",780,360,NA
"53",107,"naive-1","Chrome","Windows",1080,1920,NA
"54",50,"naive-1","Chrome","Windows",1080,1920,NA
"55",58,"naive-1","Chrome","Windows",768,1366,NA
"56",66,"naive-1","Chrome","Windows",864,1536,NA
"57",75,"naive-1","Firefox","Windows",900,1600,NA
"58",36,"accidental-1","Chrome","Windows",720,1280,NA
"59",15,"accidental-1","Firefox","Windows",1080,1920,NA
"60",150,"accidental-1","Chrome","Windows",1080,1920,NA
"61",144,"accidental-1","Firefox","Linux",760,360,NA
"62",34,"accidental-1","Chrome","Windows",864,1536,NA
"63",148,"accidental-1","Chrome","Windows",1080,1920,NA
"64",17,"accidental-1","Chrome","Windows",1080,1920,NA
"65",142,"accidental-1","Chrome","Windows",960,1707,NA
"66",20,"accidental-1","Chrome","Mac",900,1440,NA
"67",30,"accidental-1","Firefox","Windows",768,1366,NA
"68",27,"accidental-1","Safari","Mac",800,1280,NA
"69",140,"accidental-1","Chrome","Windows",1080,1920,NA
"70",26,"accidental-1","Chrome","Windows",864,1536,NA
"71",32,"accidental-1","Chrome","Linux",1280,800,NA
"72",147,"accidental-1","Chrome","Linux",760,360,NA
"73",24,"accidental-1","Chrome","Windows",800,1280,NA
"74",22,"accidental-1","Chrome","Mac",1080,1920,NA
"75",90,"accidental-2","Safari","iPhone/iPod",896,414,NA
"76",53,"accidental-2","Chrome","Windows",900,1600,NA
"77",135,"accidental-2","Chrome","Mac",900,1440,NA
"78",57,"accidental-2","Chrome","Mac",1050,1680,NA
"79",93,"accidental-2","Chrome","Mac",900,1440,NA
"80",139,"accidental-2","Chrome","Windows",768,1366,NA
"81",85,"accidental-2","Chrome","Windows",864,1536,NA
"82",134,"accidental-2","Chrome","Windows",864,1536,NA
"83",136,"accidental-2","Chrome","Linux",883,412,NA
"84",65,"accidental-2","Chrome","Windows",1080,1920,NA
"85",109,"accidental-2","Chrome","Windows",768,1366,NA
"86",129,"accidental-2","Chrome","Windows",1440,2560,NA
"87",81,"accidental-2","Chrome","Windows",864,1536,NA
"88",138,"accidental-2","Chrome","Windows",768,1366,NA
"89",101,"accidental-2","Chrome","Linux",800,1280,NA
"90",77,"accidental-2","Chrome","Windows",1080,1920,NA
"91",137,"accidental-2","Firefox","Windows",768,1366,NA
"92",133,"accidental-2","Chrome","Linux",640,360,NA
"93",106,"accidental-2","Chrome","Windows",1080,1920,NA
"94",125,"accidental-2","Chrome","Windows",864,1536,NA
"95",73,"accidental-2","Chrome","Linux",800,1280,NA
"96",69,"accidental-2","Chrome","Mac",800,1280,NA
"97",49,"accidental-2","Chrome","Windows",768,1366,NA
"98",132,"accidental-2","Firefox","Windows",1080,1920,NA
"99",113,"accidental-2","Chrome","Linux",768,1366,NA
"100",97,"accidental-2","Chrome","Linux",768,1366,NA
"101",61,"accidental-2","Chrome","Windows",864,1536,NA
"102",131,"accidental-2","Chrome","Windows",1080,1920,NA
"103",117,"accidental-2","Chrome","Windows",800,1280,NA
"104",121,"accidental-2","Chrome","Windows",864,1536,NA
"105",130,"accidental-2","Chrome","Windows",1080,1920,NA
"106",149,"pedagogical-1","Chrome","Linux",823,412,NA
"107",19,"pedagogical-1","Chrome","Windows",864,1536,NA
"108",31,"pedagogical-1","Firefox","Windows",800,1280,NA
"109",33,"pedagogical-1","Safari","iPhone/iPod",667,375,NA
"110",21,"pedagogical-1","Chrome","Windows",1728,3072,NA
"111",23,"pedagogical-1","Chrome","Windows",1080,2560,NA
"112",145,"pedagogical-1","Chrome","Windows",1024,1280,NA
"113",25,"pedagogical-1","Chrome","Windows",1080,1920,NA
