"","workerid","proliferate.condition","agent","background","item_name","item_presentation_condition","n_examples","object","property","speaker","trial_num.x","trial_time_in_seconds.x","trial_type","error.x","correct_answer","is_correct","prompt","response","response_time_in_seconds","response_type","trial_num.y","trial_time_in_seconds.y","error.y"
"1",100,"pedagogical-2","",NA,"","",NA,"","","",0,5.591,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.49,20.646,"slider",1,33.263,NA
"2",100,"pedagogical-2","Sheep",4,"fep","pedagogical",2,"flower","purple petals","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.49,20.646,"slider",1,33.263,NA
"3",101,"accidental-2","",NA,"","",NA,"","","",0,22.019,"introduction",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.36,30.016,"slider",2,58.079,NA
"4",101,"accidental-2","Dog",10,"dax","accidental",2,"bird","green feathers","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.36,30.016,"slider",2,58.079,NA
"5",101,"accidental-2","Pig",10,"dax","accidental",2,"bird","green feathers","tg",2,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.36,30.016,"slider",2,58.079,NA
"6",103,"naive-2","",NA,"","",NA,"","","",0,5.024,"introduction",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.74,9.122,"slider",1,37.272,NA
"7",103,"naive-2","Cat",7,"dax","naive",2,"bird","green feathers","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.74,9.122,"slider",1,37.272,NA
"8",104,"pedagogical-2","",NA,"","",NA,"","","",0,2.581,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.94,4.079,"slider",1,32.791,NA
"9",104,"pedagogical-2","Bear",7,"fep","pedagogical",2,"flower","purple petals","tg",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.94,4.079,"slider",1,32.791,NA
"10",105,"naive-2","",NA,"","",NA,"","","",0,30.095,"introduction",NA,NA,"True","Imagine that you come across another dax. What are the chances that it squeaks?",0.85,6.721,"slider",1,37.977,NA
"11",105,"naive-2","Bear",1,"dax","naive",2,"artifact","squeaking","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it squeaks?",0.85,6.721,"slider",1,37.977,NA
"12",106,"accidental-2","",NA,"","",NA,"","","",0,12.389,"introduction",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.81,11.191,"slider",2,52.963,NA
"13",106,"accidental-2","Bear",6,"dax","accidental",2,"bird","green feathers","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.81,11.191,"slider",2,52.963,NA
"14",106,"accidental-2","Monkey",6,"dax","accidental",2,"bird","green feathers","tg",2,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.81,11.191,"slider",2,52.963,NA
"15",107,"naive-1","",NA,"","",NA,"","","",0,11.184,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.78,7.779,"slider",1,27.3,NA
"16",107,"naive-1","Monkey",5,"fep","naive",1,"artifact","squeaking","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.78,7.779,"slider",1,27.3,NA
"17",108,"pedagogical-2","",NA,"","",NA,"","","",0,12.851,"introduction",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it has purple petals?",0.79,21.118,"slider",1,72.607,NA
"18",108,"pedagogical-2","Sheep",2,"blicket","naive",2,"flower","purple petals","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it has purple petals?",0.79,21.118,"slider",1,72.607,NA
"19",109,"accidental-2","",NA,"","",NA,"","","",0,1.03,"introduction",NA,NA,"True","Imagine that you come across another dax. What are the chances that it squeaks?",1,21.518,"slider",2,195.574,NA
"20",109,"accidental-2","Sheep",5,"dax","accidental",2,"artifact","squeaking","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it squeaks?",1,21.518,"slider",2,195.574,NA
"21",109,"accidental-2","Bear",5,"dax","accidental",2,"artifact","squeaking","mh",2,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it squeaks?",1,21.518,"slider",2,195.574,NA
"22",110,"naive-1","",NA,"","",NA,"","","",0,17.647,"introduction",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.48,10.268,"slider",1,31.131,NA
"23",110,"naive-1","Monkey",9,"blicket","naive",1,"artifact","squeaking","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.48,10.268,"slider",1,31.131,NA
"24",111,"naive-2","",NA,"","",NA,"","","",0,14.574,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.88,21.982,"slider",1,48.103,NA
"25",111,"naive-2","Cat",2,"fep","naive",2,"flower","purple petals","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.88,21.982,"slider",1,48.103,NA
"26",112,"pedagogical-2","",NA,"","",NA,"","","",0,10.442,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.99,6.749,"slider",1,34.636,NA
"27",112,"pedagogical-2","Sheep",9,"fep","pedagogical",2,"artifact","squeaking","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.99,6.749,"slider",1,34.636,NA
"28",113,"accidental-2","",NA,"","",NA,"","","",0,13.403,"introduction",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",1,8.253,"slider",2,56.928,NA
"29",113,"accidental-2","Dog",10,"dax","accidental",2,"flower","purple petals","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",1,8.253,"slider",2,56.928,NA
"30",113,"accidental-2","Cat",10,"dax","accidental",2,"flower","purple petals","mh",2,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",1,8.253,"slider",2,56.928,NA
"31",114,"naive-1","",NA,"","",NA,"","","",0,4.035,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.77,5.769,"slider",1,27.044,NA
"32",114,"naive-1","Cat",6,"fep","naive",1,"artifact","squeaking","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.77,5.769,"slider",1,27.044,NA
"33",115,"naive-2","",NA,"","",NA,"","","",0,11.624,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has green feathers?",1,5.163,"slider",1,94.141,NA
"34",115,"naive-2","Monkey",7,"fep","naive",2,"bird","green feathers","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has green feathers?",1,5.163,"slider",1,94.141,NA
"35",116,"pedagogical-2","",NA,"","",NA,"","","",0,20.856,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.51,32.21,"slider",1,35.009,NA
"36",116,"pedagogical-2","Monkey",2,"fep","pedagogical",2,"flower","purple petals","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.51,32.21,"slider",1,35.009,NA
"37",117,"accidental-2","",NA,"","",NA,"","","",0,4.591,"introduction",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.75,5.494,"slider",2,48.343,NA
"38",117,"accidental-2","Monkey",8,"blicket","accidental",2,"artifact","squeaking","tg",1,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.75,5.494,"slider",2,48.343,NA
"39",117,"accidental-2","Pig",8,"blicket","accidental",2,"artifact","squeaking","mh",2,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.75,5.494,"slider",2,48.343,NA
"40",118,"naive-2","",NA,"","",NA,"","","",0,8.463,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has green feathers?",0.89,10.382,"slider",1,37.2,NA
"41",118,"naive-2","Elephant",10,"fep","naive",2,"bird","green feathers","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has green feathers?",0.89,10.382,"slider",1,37.2,NA
"42",119,"naive-1","",NA,"","",NA,"","","",0,13.454,"introduction",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it has green feathers?",0.87,11.505,"slider",1,29.251,NA
"43",119,"naive-1","Bear",1,"blicket","naive",1,"bird","green feathers","tg",1,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it has green feathers?",0.87,11.505,"slider",1,29.251,NA
"44",120,"pedagogical-2","",NA,"","",NA,"","","",0,10.088,"introduction",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",0.47,5.692,"slider",1,34.772,NA
"45",120,"pedagogical-2","Monkey",2,"dax","pedagogical",2,"flower","purple petals","tg",1,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",0.47,5.692,"slider",1,34.772,NA
"46",121,"accidental-2","",NA,"","",NA,"","","",0,14.703,"introduction",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.72,27.524,"slider",2,67.98,NA
"47",121,"accidental-2","Pig",1,"blicket","accidental",2,"artifact","squeaking","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.72,27.524,"slider",2,67.98,NA
"48",121,"accidental-2","Monkey",1,"blicket","accidental",2,"artifact","squeaking","sb",2,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.72,27.524,"slider",2,67.98,NA
"49",122,"naive-1","",NA,"","",NA,"","","",0,4.615,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.77,6.335,"slider",1,25.536,NA
"50",122,"naive-1","Pig",4,"fep","naive",1,"flower","purple petals","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.77,6.335,"slider",1,25.536,NA
"51",123,"naive-2","",NA,"","",NA,"","","",0,7.497,"introduction",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",1,6.488,"slider",1,38.688,NA
"52",123,"naive-2","Pig",2,"dax","naive",2,"flower","purple petals","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",1,6.488,"slider",1,38.688,NA
"53",124,"pedagogical-2","",NA,"","",NA,"","","",0,6.051,"introduction",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.78,7.013,"slider",1,42.869,NA
"54",124,"pedagogical-2","Cat",1,"dax","pedagogical",2,"bird","green feathers","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.78,7.013,"slider",1,42.869,NA
"55",125,"accidental-2","",NA,"","",NA,"","","",0,4.815,"introduction",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.75,5.231,"slider",2,51.037,NA
"56",125,"accidental-2","Dog",7,"dax","accidental",2,"bird","green feathers","tg",1,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.75,5.231,"slider",2,51.037,NA
"57",125,"accidental-2","Sheep",7,"dax","accidental",2,"bird","green feathers","mh",2,NA,"trial",NA,NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.75,5.231,"slider",2,51.037,NA
"58",126,"naive-2","",NA,"","",NA,"","","",0,2.923,"introduction",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it has purple petals?",0.62,4.35,"slider",1,36.141,NA
"59",126,"naive-2","Bear",7,"blicket","naive",2,"flower","purple petals","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it has purple petals?",0.62,4.35,"slider",1,36.141,NA
"60",128,"pedagogical-2","",NA,"","",NA,"","","",0,5.488,"introduction",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it has purple petals?",0.74,9.047,"slider",1,40.827,NA
"61",128,"pedagogical-2","Tiger",5,"blicket","pedagogical",2,"flower","purple petals","sb",1,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it has purple petals?",0.74,9.047,"slider",1,40.827,NA
"62",129,"accidental-2","",NA,"","",NA,"","","",0,14.393,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has green feathers?",0.99,7.259,"slider",2,52.634,NA
"63",129,"accidental-2","Dog",4,"fep","accidental",2,"bird","green feathers","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has green feathers?",0.99,7.259,"slider",2,52.634,NA
"64",129,"accidental-2","Sheep",4,"fep","accidental",2,"bird","green feathers","tg",2,NA,"trial",NA,NA,"True","Imagine that you come across another fep. What are the chances that it has green feathers?",0.99,7.259,"slider",2,52.634,NA
"65",130,"accidental-2","",NA,"","",NA,"","","",0,5.623,"introduction",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.67,6.914,"slider",2,49.237,NA
"66",130,"accidental-2","Cat",2,"blicket","accidental",2,"artifact","squeaking","mh",1,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.67,6.914,"slider",2,49.237,NA
"67",130,"accidental-2","Tiger",2,"blicket","accidental",2,"artifact","squeaking","sb",2,NA,"trial",NA,NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.67,6.914,"slider",2,49.237,NA
"68",131,"accidental-2","",NA,"","",NA,"","","",0,6.936,"introduction",NA,NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.88,15.744,"slider",2,50.032,NA
