"","workerid","proliferate.condition","age","assess","comments","education","fairprice","gender","language","problems","error"
"1",96,"pedagogical-2",30,"Yes","",2,"1.00","Female","english","no",NA
"2",116,"pedagogical-2",36,"Yes","",2,"$0.75","Female","English","No",NA
"3",112,"pedagogical-2",29,"Yes","I'd be excited to see the results of this study",4,"no","Male","English","no",NA
"4",128,"pedagogical-2",44,"Yes","none",2,"100","Male","english","none",NA
"5",64,"pedagogical-2",59,"No","",4,"yes","","English","No",NA
"6",100,"pedagogical-2",34,"Yes","thank you",2,"0.64","Male","english","no",NA
"7",88,"pedagogical-2",18,"Yes","no",1,"yes","Other","English","nope",NA
"8",52,"pedagogical-2",24,"Yes","",3,"Yes","Male","English","No",NA
"9",56,"pedagogical-2",40,"Yes","",2,"50¢","Female","English","",NA
"10",72,"pedagogical-2",18,"Yes","N/A",2,"$0.80","Female","Mandarin Chinese","No",NA
"11",80,"pedagogical-2",35,"Yes","I like all this survey questions.",3,"Yes","Male","English","No",NA
"12",120,"pedagogical-2",34,"Yes","",4,"0.80","Male","English ","",NA
"13",92,"pedagogical-2",24,"Yes","no",3,"0.65","Male","English","no",NA
"14",60,"pedagogical-2",23,"Yes","",1,"1USD","Male","English","no",NA
"15",108,"pedagogical-2",28,"Yes"," No",3,"Yes","Female","English"," No",NA
"16",76,"pedagogical-2",19,"No","",2,"Yes","Male","English","no",NA
"17",104,"pedagogical-2",22,"No","",3,"?","Male","English","nope",NA
"18",84,"pedagogical-2",22,"Yes","",2,"yes","Female","english","no",NA
"19",124,"pedagogical-2",43,"Yes","",2,".89","Male","English","No",NA
"20",67,"naive-2",21,"Yes","This was neat, but I'm starting to think I put too much thought into it.",2,"1.00","Male","English","",NA
"21",99,"naive-2",19,"Yes","Thank you!",2,"0.80","Male","English","One attention check question was mildly confusing. It questioned if the researcher was new or not. The researcher knew nothing about feps, and it seemed like she was new. It is simple to overthink and incorrectly answer the attention check question. Please consider this for future studies.",NA
"22",126,"naive-2",20,"Yes","",2,"3 dollars","Male","French","no",NA
"23",89,"naive-2",18,"Yes","",1,"$0.80","Male","English","No.",NA
"24",123,"naive-2",38,"Yes","",3,"0.65 pound","Male","English","No",NA
"25",51,"naive-2",30,"Yes","",1,".60","Male","English","No",NA
"26",71,"naive-2",39,"Yes","it was a nice survey.",4,"1$","Male","English","no",NA
"27",87,"naive-2",19,"Yes","",2,"1.00","Male","English","No",NA
"28",103,"naive-2",28,"No","",3,"1","Male","Arabic","No",NA
"29",82,"naive-2",19,"Yes","I enjoy this. Thank You.",1,"Yeah","Female","English","no",NA
"30",63,"naive-2",50,"Yes","",3,".10","Female","English","No",NA
"31",59,"naive-2",43,"Yes","thank you",1,"1.00","Male","spanish","no",NA
"32",118,"naive-2",30,"Yes","",1,"","Male","English","",NA
"33",55,"naive-2",46,"Yes","",3,"$1","Male","English","no",NA
"34",105,"naive-2",20,"Yes","",1,"","Male","English","No",NA
"35",115,"naive-2",39,"Yes","",3,"1.00","Male","English","",NA
"36",79,"naive-2",19,"Yes","",2,"ehh like a buck","Male","Spanish, English","",NA
"37",94,"naive-2",32,"Yes","",4,"10","Female","English","Yes all the voices came at the end of my experiment",NA
"38",74,"naive-2",56,"Yes","",2,".65 cents","Male","English","No",NA
"39",111,"naive-2",39,"Yes","Thanks",4,"YES","Female","ENGLISH","NO",NA
"40",119,"naive-1",21,"Yes","",2,"$.65","Female","English","No!",NA
"41",98,"naive-1",34,"Yes","Great Experienced!",3,".50","Female","Tagalog","no",NA
"42",83,"naive-1",27,"No","nope!",3,"$0.75","Female","Englisj","nope!",NA
"43",91,"naive-1",35,"Yes","",2,"","Female","English","",NA
"44",54,"naive-1",36,"Yes","no comments.",4,"yes","Male","English","no",NA
"45",114,"naive-1",19,"Yes","",2,"$1","Male","chinese/english","no",NA
"46",95,"naive-1",18,"Yes","",1,"$1","Female","Vietnamese","",NA
"47",62,"naive-1",37,"Yes","",3,".65","Female","English","the sound for the sound check didn't work at first so I had to refresh the page",NA
"48",110,"naive-1",39,"Yes","No",2,"1.00","Female","English","",NA
"49",78,"naive-1",37,"Yes","N/A",3,"50cents","Female","English","no",NA
"50",70,"naive-1",54,"Yes","",3,"3.50","Male","English ","No",NA
"51",122,"naive-1",22,"No","The petals disappeared after the pig commented on them and I wasn't sure if that was intentional or not so I didn't comment on it.",3,"50 cents","Female","English","None",NA
"52",86,"naive-1",19,"Yes","No comments ",2,"0.68","Female","English","No.",NA
"53",107,"naive-1",25,"Yes","",3,".70","Female","English","no",NA
"54",50,"naive-1",20,"Yes","",2,"","Male","English","",NA
