"","workerid","proliferate.condition","agent","background","item_name","item_presentation_condition","n_examples","object","property","speaker","trial_num","trial_time_in_seconds.x","trial_type","correct_answer","is_correct","prompt","response","response_time_in_seconds","response_type","trial_time_in_seconds.y","error.y"
"2",100,"pedagogical-2","Sheep",4,"fep","pedagogical",2,"flower","purple petals","mh",1,NA,"trial",NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.49,20.646,"slider",33.263,NA
"5",101,"accidental-2","Pig",10,"dax","accidental",2,"bird","green feathers","tg",2,NA,"trial",NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.36,30.016,"slider",58.079,NA
"7",103,"naive-2","Cat",7,"dax","naive",2,"bird","green feathers","sb",1,NA,"trial",NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.74,9.122,"slider",37.272,NA
"9",104,"pedagogical-2","Bear",7,"fep","pedagogical",2,"flower","purple petals","tg",1,NA,"trial",NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.94,4.079,"slider",32.791,NA
"11",105,"naive-2","Bear",1,"dax","naive",2,"artifact","squeaking","sb",1,NA,"trial",NA,"True","Imagine that you come across another dax. What are the chances that it squeaks?",0.85,6.721,"slider",37.977,NA
"14",106,"accidental-2","Monkey",6,"dax","accidental",2,"bird","green feathers","tg",2,NA,"trial",NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.81,11.191,"slider",52.963,NA
"16",107,"naive-1","Monkey",5,"fep","naive",1,"artifact","squeaking","mh",1,NA,"trial",NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.78,7.779,"slider",27.3,NA
"18",108,"pedagogical-2","Sheep",2,"blicket","naive",2,"flower","purple petals","mh",1,NA,"trial",NA,"True","Imagine that you come across another blicket. What are the chances that it has purple petals?",0.79,21.118,"slider",72.607,NA
"21",109,"accidental-2","Bear",5,"dax","accidental",2,"artifact","squeaking","mh",2,NA,"trial",NA,"True","Imagine that you come across another dax. What are the chances that it squeaks?",1,21.518,"slider",195.574,NA
"23",110,"naive-1","Monkey",9,"blicket","naive",1,"artifact","squeaking","mh",1,NA,"trial",NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.48,10.268,"slider",31.131,NA
"25",111,"naive-2","Cat",2,"fep","naive",2,"flower","purple petals","mh",1,NA,"trial",NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.88,21.982,"slider",48.103,NA
"27",112,"pedagogical-2","Sheep",9,"fep","pedagogical",2,"artifact","squeaking","sb",1,NA,"trial",NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.99,6.749,"slider",34.636,NA
"30",113,"accidental-2","Cat",10,"dax","accidental",2,"flower","purple petals","mh",2,NA,"trial",NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",1,8.253,"slider",56.928,NA
"32",114,"naive-1","Cat",6,"fep","naive",1,"artifact","squeaking","sb",1,NA,"trial",NA,"True","Imagine that you come across another fep. What are the chances that it squeaks?",0.77,5.769,"slider",27.044,NA
"34",115,"naive-2","Monkey",7,"fep","naive",2,"bird","green feathers","sb",1,NA,"trial",NA,"True","Imagine that you come across another fep. What are the chances that it has green feathers?",1,5.163,"slider",94.141,NA
"36",116,"pedagogical-2","Monkey",2,"fep","pedagogical",2,"flower","purple petals","mh",1,NA,"trial",NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.51,32.21,"slider",35.009,NA
"39",117,"accidental-2","Pig",8,"blicket","accidental",2,"artifact","squeaking","mh",2,NA,"trial",NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.75,5.494,"slider",48.343,NA
"41",118,"naive-2","Elephant",10,"fep","naive",2,"bird","green feathers","sb",1,NA,"trial",NA,"True","Imagine that you come across another fep. What are the chances that it has green feathers?",0.89,10.382,"slider",37.2,NA
"43",119,"naive-1","Bear",1,"blicket","naive",1,"bird","green feathers","tg",1,NA,"trial",NA,"True","Imagine that you come across another blicket. What are the chances that it has green feathers?",0.87,11.505,"slider",29.251,NA
"45",120,"pedagogical-2","Monkey",2,"dax","pedagogical",2,"flower","purple petals","tg",1,NA,"trial",NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",0.47,5.692,"slider",34.772,NA
"48",121,"accidental-2","Monkey",1,"blicket","accidental",2,"artifact","squeaking","sb",2,NA,"trial",NA,"True","Imagine that you come across another blicket. What are the chances that it squeaks?",0.72,27.524,"slider",67.98,NA
"50",122,"naive-1","Pig",4,"fep","naive",1,"flower","purple petals","mh",1,NA,"trial",NA,"True","Imagine that you come across another fep. What are the chances that it has purple petals?",0.77,6.335,"slider",25.536,NA
"52",123,"naive-2","Pig",2,"dax","naive",2,"flower","purple petals","mh",1,NA,"trial",NA,"True","Imagine that you come across another dax. What are the chances that it has purple petals?",1,6.488,"slider",38.688,NA
"54",124,"pedagogical-2","Cat",1,"dax","pedagogical",2,"bird","green feathers","mh",1,NA,"trial",NA,"True","Imagine that you come across another dax. What are the chances that it has green feathers?",0.78,7.013,"slider",42.869,NA
