"","workerid","proliferate.condition","agent","followup_fails","item_name","item_presentation_condition","n_examples","object","speaker","predicted_probability_correct_answer","predicted_probability_duration","predicted_probability_is_correct","predicted_probability_response","character_arrival_correct_answer","character_arrival_duration","character_arrival_is_correct","character_arrival_response","freeform_followup_correct_answer","freeform_followup_duration","freeform_followup_is_correct","freeform_followup_response","name_identification_correct_answer","name_identification_duration","name_identification_is_correct","name_identification_response","generic_endorsement_correct_answer","generic_endorsement_duration","generic_endorsement_is_correct","generic_endorsement_response","botcaptcha_correct_answer","botcaptcha_duration","botcaptcha_response","botcaptcha_n_fails","sound_check_correct_answer","sound_check_duration","sound_check_response","num_fails","property","sound_check_is_correct","total_time_taken","error","perceived_character_knowledge_correct_answer","perceived_character_knowledge_duration","perceived_character_knowledge_is_correct","perceived_character_knowledge_response","object_images","exp_cond"
"1",155,"accidental-1","Bear",0,"dax","accidental",1,"bird","mh",NA,16.278,"True",0.49,"just_arrived",8.249,TRUE,"just_arrived",NA,34.963,"True","A researcher on the planet let me know that they just arrived and we found a dax with green feathers together.","dax",4.313,TRUE,"dax",NA,3.551,"True","yes","Elizabeth",8.998,"['Elizabeth']",0,"shadow",10.53,"['shadow']",0,"green feathers",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_1"
"2",156,"accidental-2","Tiger",0,"fep","accidental",2,"artifact","mh",NA,6.922,"True",0.84,"just_arrived",5.36,TRUE,"just_arrived",NA,27.365,"True","A new researcher arrives on a planet, and encounters 'feps.' He observes them squeaking.","fep",4.429,TRUE,"fep",NA,2.811,"True","yes","Patricia",8.18,"['Patricia']",0,"shadow",16.293,"['Shadow']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_2"
"3",157,"pedagogical-2","Dog",0,"fep","pedagogical",2,"flower","sb",NA,10.481,"True",0.89,"been_while",5.327,TRUE,"been_while",NA,41.661,"True","My dog researcher friend, who has been studying the planet's life forms for a while, show me some fep plants, some feps. They then show me how the plants can bloom with purple petals.","fep",3.006,TRUE,"fep",NA,3.254,"True","yes","Elizabeth",8.704,"['Elizabeth']",0,"shadow",14.826,"['shadow']",0,"purple petals",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_2"
"4",158,"pedagogical-1","Dog",0,"wug","pedagogical",1,"artifact","mh",NA,17.289,"True",0.77,"been_while",5.442,TRUE,"been_while",NA,164.162,"True","An animation was shown of a researcher demonstrating what a foreign object does and follow up questions were asked regarding the object and what it does.","wug",4.8,TRUE,"wug",NA,5.452,"True","yes","Jennifer",8.223,"['Jennifer']",0,"shadow",13.183,"['Shadow']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_1"
"5",159,"accidental-1","Elephant",0,"wug","accidental",1,"bird","sb",NA,8.976,"True",0.78,"just_arrived",7.007,TRUE,"just_arrived",NA,28.025,"True","The new planet has an observer looking at the species it has never seen before","wug",4.721,TRUE,"wug",NA,3.551,"True","yes","Sarah",50.903,"['sarah']",0,"shadow",12.503,"['shadow']",0,"green feathers",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_1"
"6",160,"accidental-2","Tiger",1,"dax","accidental",2,"artifact","mh",NA,9.82,"True",0.96,"just_arrived",5.899,FALSE,"been_while",NA,33.157,"True","Lion Scientist showed me what a dax is and demonstrated it squeaks.","dax",7.715,TRUE,"dax",NA,2.764,"True","yes","Patricia",6.165,"['Patricia']",0,"shadow",12.966,"['shadow']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_2"
"7",161,"pedagogical-2","Elephant",0,"fep","pedagogical",2,"flower","mh",NA,6.869,"True",0.62,"been_while",6.566,TRUE,"been_while",NA,12.538,"True","I have no clue. It felt like a fever dream.","fep",4.08,TRUE,"fep",NA,3.536,"True","yes","Linda",6.343,"['Linda']",0,"tiger",10.304,"['Tiger']",0,"purple petals",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_2"
"8",162,"pedagogical-1","Elephant",0,"dax","pedagogical",1,"artifact","sb",NA,5.91,"True",0.86,"been_while",6.618,TRUE,"been_while",NA,100.905,"True","As a scientist, I arrived on a new planet to study the plants, animals, and objects there. When I landed, I was greeted by another scientist (who was a bipedal elephant), who told me they had been working on the planet for a while and knew all about the plants, animals, and objects there. They then showed me a rounded, purple and white object. They identified it as a ""dax"" and showed me that it squeaked when pressed.","dax",3.568,TRUE,"dax",NA,2.649,"True","yes","Jessica",9.428,"['Jessica']",0,"tiger",19.556,"['tiger']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_1"
"9",163,"accidental-1","Elephant",0,"wug","accidental",1,"flower","tg",NA,6.268,"True",0.36,"just_arrived",5.313,TRUE,"just_arrived",NA,9.962,"True","The elephant is a new researcher and found a wug.","wug",4.392,TRUE,"wug",NA,4.356,"True","no","Margaret",6.297,"['Margaret']",0,"shadow",5.487,"['shadow']",0,"purple petals",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_1"
"10",164,"accidental-2","Sheep",1,"wug","accidental",2,"flower","mh",NA,6.889,"True",1,"just_arrived",7.702,FALSE,"been_while",NA,64.944,"True","Another scientist observed the wugs and got close to them.
After he came close to them their petals turn purple and scientist was surprised by that.","wug",5.163,TRUE,"wug",NA,2.971,"True","yes","Mary",8.267,"['Mary']",0,"shadow",11.434,"['Shadow']",0,"purple petals",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_2"
"11",165,"pedagogical-1","Sheep",0,"wug","pedagogical",1,"bird","tg",NA,5.816,"True",0.55,"been_while",6.651,TRUE,"been_while",NA,33.254,"True","The character introduced me to a creature called a wug, and described it's appearance. ","wug",4.405,TRUE,"wug",NA,3.601,"True","yes","Susan",5.52,"['susan']",0,"tiger",12.708,"['tiger']",0,"green feathers",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_1"
"12",166,"pedagogical-2","Elephant",0,"dax","pedagogical",2,"artifact","tg",NA,8.846,"True",1,"been_while",5.878,TRUE,"been_while",NA,17.993,"True","The researcher has been here for a while, and the daxes squeak.","dax",4.806,TRUE,"dax",NA,5.004,"True","yes","Linda",8.487,"['Linda']",0,"tiger",13.184,"['tiger']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_2"
"13",167,"pedagogical-1","Bear",0,"wug","pedagogical",1,"artifact","tg",NA,5.019,"True",0.99,"been_while",7.53,TRUE,"been_while",NA,17.979,"True","The creature told me they knew about the plants and other lifeforms, and showed me that a wug squeaked","wug",3.242,TRUE,"wug",NA,1.887,"True","yes","Elizabeth",5.881,"['Elizabeth']",0,"shadow",20.652,"['shadow']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_1"
"14",168,"accidental-1","Tiger",0,"dax","accidental",1,"flower","mh",NA,9.498,"True",1,"just_arrived",5.639,TRUE,"just_arrived",NA,28.521,"True","The new scientist that arrived at the plant observed the Dax plant and found out that it has purple petals.","dax",3.941,TRUE,"dax",NA,2.65,"True","yes","Patricia",10.844,"['Patricia']",0,"shadow",26.621,"['shadow']",0,"purple petals",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_1"
"15",170,"pedagogical-2","Dog",0,"fep","pedagogical",2,"artifact","sb",NA,6.865,"True",0.92,"been_while",5.907,TRUE,"been_while",NA,35.109,"True","The researcher that looks like a dog showed me the feps which squeak when you squeeze them.","fep",4.071,TRUE,"fep",NA,3.174,"True","yes","Elizabeth",10.182,"['Elizabeth']",0,"tiger",15.487,"['tiger']",0,"squeaking",NA,NA,NA,NA,NA,NA,NA,NA,"pedagogical_2"
"16",171,"accidental-1","Dog",0,"fep","accidental",1,"flower","tg",NA,4.743,"True",0.49,"just_arrived",4.097,TRUE,"just_arrived",NA,25.154,"True","There was a researcher that came to a new planet and observed life there. They found a plant that was labelled as a ""fep"" and became surprised when they saw it grow purple petals. ","fep",3.11,TRUE,"fep",NA,3.534,"True","yes","Sarah",3.76,"['Sarah']",0,"shadow",10.57,"['shadow']",0,"purple petals",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_1"
"17",172,"accidental-2","Monkey",0,"wug","accidental",2,"bird","tg",NA,9.764,"True",0.73,"just_arrived",4.621,TRUE,"just_arrived",NA,23.05,"True","I was tested on whether I would know the wug had green feathers before the researcher observed it more closely.","wug",2.212,TRUE,"wug",NA,2.338,"True","yes","Patricia",4.265,"['Patricia']",0,"tiger",10.113,"['Tiger']",0,"green feathers",NA,NA,NA,NA,NA,NA,NA,NA,"accidental_2"
