workerid,condition,response,item,passed_id_check,sound_check_closeness,sound_check_response,correct_sound_check_word
c2ff5dc7163194acef2e0cb4619a71df,generic,0.87,Daxes,,100,evergreen,evergreen
c2ff5dc7163194acef2e0cb4619a71df,generic,0.87,Feps,,100,evergreen,evergreen
c2ff5dc7163194acef2e0cb4619a71df,generic,0.98,Blickets,,100,evergreen,evergreen
602f491d5396dce1a7d84b5dfc94055d,accidental,0.7,Feps,True,100,evergreen,evergreen
602f491d5396dce1a7d84b5dfc94055d,accidental,0.82,Daxes,True,100,evergreen,evergreen
602f491d5396dce1a7d84b5dfc94055d,accidental,1,Blickets,True,100,evergreen,evergreen
09983c48b144f2bfe1f2bb6f70e43233,accidental,0.77,Blickets,True,100,tiger,tiger
09983c48b144f2bfe1f2bb6f70e43233,accidental,0.26,Feps,True,100,tiger,tiger
09983c48b144f2bfe1f2bb6f70e43233,accidental,0.22,Daxes,True,100,tiger,tiger
8bd7ad893c274f22ebdfa5cea8733697,accidental,0.8,Blickets,True,100,evergreen,evergreen
8bd7ad893c274f22ebdfa5cea8733697,accidental,0.6,Feps,True,100,evergreen,evergreen
8bd7ad893c274f22ebdfa5cea8733697,accidental,0.88,Daxes,True,100,evergreen,evergreen
556195759a54bad245f5cff4df04cf38,accidental,0.48,Feps,True,60,title,tiger
556195759a54bad245f5cff4df04cf38,accidental,0.51,Blickets,False,60,title,tiger
556195759a54bad245f5cff4df04cf38,accidental,0.49,Daxes,True,60,title,tiger
5576b74fcc1dd34f151326d245200229,accidental,0.22,Feps,True,100,evergreen,evergreen
5576b74fcc1dd34f151326d245200229,accidental,0.95,Blickets,True,100,evergreen,evergreen
5576b74fcc1dd34f151326d245200229,accidental,1,Daxes,True,100,evergreen,evergreen
9b164bb894ba7df0ad22beb5db240509,pedageneric,1,Daxes,True,100,evergreen,evergreen
9b164bb894ba7df0ad22beb5db240509,pedageneric,1,Blickets,True,100,evergreen,evergreen
9b164bb894ba7df0ad22beb5db240509,pedageneric,1,Feps,True,100,evergreen,evergreen
d24b6499242630d18a3e65bdb53b36d1,accidental,0.49,Blickets,True,95,evergreen ,evergreen
d24b6499242630d18a3e65bdb53b36d1,accidental,0.7,Feps,True,95,evergreen ,evergreen
d24b6499242630d18a3e65bdb53b36d1,accidental,0.63,Daxes,True,95,evergreen ,evergreen
ecac4b91285d44f0d5f1a964e71a82aa,generic,0.73,Blickets,,100,tiger,tiger
ecac4b91285d44f0d5f1a964e71a82aa,generic,0.99,Daxes,,100,tiger,tiger
ecac4b91285d44f0d5f1a964e71a82aa,generic,1,Feps,,100,tiger,tiger
65ce2f85d05c5426d43bf214b81d67f5,generic,0.99,Feps,,100,tiger,tiger
65ce2f85d05c5426d43bf214b81d67f5,generic,1,Blickets,,100,tiger,tiger
65ce2f85d05c5426d43bf214b81d67f5,generic,0.99,Daxes,,100,tiger,tiger
7d7715fdf52d94f4b8bdd8ed1e00a9ba,2pedagogical,0.7,Feps,True,100,evergreen,evergreen
7d7715fdf52d94f4b8bdd8ed1e00a9ba,2pedagogical,0.95,Daxes,True,100,evergreen,evergreen
7d7715fdf52d94f4b8bdd8ed1e00a9ba,2pedagogical,0.49,Blickets,True,100,evergreen,evergreen
9e8e78fb70af08c930a639980ddb992f,accidental,0.67,Blickets,True,100,evergreen,evergreen
9e8e78fb70af08c930a639980ddb992f,accidental,0.67,Daxes,True,100,evergreen,evergreen
9e8e78fb70af08c930a639980ddb992f,accidental,0.49,Feps,True,100,evergreen,evergreen
3ceeef0fcf15c0184e45a7fe5c395cba,generic,0.97,Feps,,100,evergreen,evergreen
3ceeef0fcf15c0184e45a7fe5c395cba,generic,1,Blickets,,100,evergreen,evergreen
3ceeef0fcf15c0184e45a7fe5c395cba,generic,1,Daxes,,100,evergreen,evergreen
e95c1074a1ba9a3aeeb86bfdc05b02ce,pedageneric,1,Blickets,True,100,evergreen,evergreen
e95c1074a1ba9a3aeeb86bfdc05b02ce,pedageneric,1,Daxes,True,100,evergreen,evergreen
e95c1074a1ba9a3aeeb86bfdc05b02ce,pedageneric,0.98,Feps,True,100,evergreen,evergreen
34fc2707c7831a3d78e1f9199b8d93ac,pedagogical,0.76,Feps,True,100,evergreen,evergreen
34fc2707c7831a3d78e1f9199b8d93ac,pedagogical,0.93,Daxes,True,100,evergreen,evergreen
34fc2707c7831a3d78e1f9199b8d93ac,pedagogical,0.96,Blickets,True,100,evergreen,evergreen
736596d900bb45f1ccc616d9d3f80b1d,accidental,0.86,Blickets,True,100,evergreen,evergreen
736596d900bb45f1ccc616d9d3f80b1d,accidental,0.86,Daxes,True,100,evergreen,evergreen
736596d900bb45f1ccc616d9d3f80b1d,accidental,0.95,Feps,True,100,evergreen,evergreen
1b54759ea55719e7c654aedd3f1b73b4,accidental,0.74,Blickets,True,100,Evergreen,evergreen
1b54759ea55719e7c654aedd3f1b73b4,accidental,0.55,Feps,True,100,Evergreen,evergreen
1b54759ea55719e7c654aedd3f1b73b4,accidental,0.89,Daxes,True,100,Evergreen,evergreen
fc00f47015ccb1e48cc262392710b8c1,pedageneric,1,Feps,True,100,tiger,tiger
fc00f47015ccb1e48cc262392710b8c1,pedageneric,1,Daxes,True,100,tiger,tiger
fc00f47015ccb1e48cc262392710b8c1,pedageneric,0.51,Blickets,False,100,tiger,tiger
c57782a4b3ef49679915e2010a276de5,2pedagogical,0.84,Blickets,True,100,tiger,tiger
c57782a4b3ef49679915e2010a276de5,2pedagogical,0.82,Feps,True,100,tiger,tiger
c57782a4b3ef49679915e2010a276de5,2pedagogical,0.85,Daxes,True,100,tiger,tiger
3841cdf562c6a2a01ba58db0dc34864b,pedagogical,0.72,Daxes,True,100,evergreen,evergreen
3841cdf562c6a2a01ba58db0dc34864b,pedagogical,0.74,Blickets,True,100,evergreen,evergreen
3841cdf562c6a2a01ba58db0dc34864b,pedagogical,0.64,Feps,True,100,evergreen,evergreen
f1c05922b41376e691e4a6dcbec4e6c9,accidental,0.54,Daxes,True,100,tiger,tiger
f1c05922b41376e691e4a6dcbec4e6c9,accidental,0.51,Blickets,True,100,tiger,tiger
f1c05922b41376e691e4a6dcbec4e6c9,accidental,0.56,Feps,True,100,tiger,tiger
c57782a4b3ef49679915e2010a276de5,accidental,0.51,Blickets,True,100,tiger,tiger
c57782a4b3ef49679915e2010a276de5,accidental,0.51,Daxes,True,100,tiger,tiger
c57782a4b3ef49679915e2010a276de5,accidental,0.51,Feps,True,100,tiger,tiger
341096938542f1220eb6837be7f2e8ad,accidental,1,Blickets,True,100,evergreen,evergreen
341096938542f1220eb6837be7f2e8ad,accidental,0.98,Daxes,True,100,evergreen,evergreen
341096938542f1220eb6837be7f2e8ad,accidental,1,Feps,False,100,evergreen,evergreen
76d454e311bcf54b2083286bdc355002,accidental,0.76,Feps,True,100,evergreen,evergreen
76d454e311bcf54b2083286bdc355002,accidental,1,Blickets,True,100,evergreen,evergreen
