workerid,condition,response,item,passed_id_check,sound_check_closeness,sound_check_response,correct_sound_check_word,submit_time
e706ebeeb8c4544a6e380da4728d60b5,3accidental,0.45,Feps,True,100,evergreen,evergreen,2019-10-17T14:00:57.000Z
e706ebeeb8c4544a6e380da4728d60b5,3accidental,0.98,Daxes,True,100,evergreen,evergreen,2019-10-17T14:00:57.000Z
e706ebeeb8c4544a6e380da4728d60b5,3accidental,0.98,Blickets,True,100,evergreen,evergreen,2019-10-17T14:00:57.000Z
0b47763ec87aa5d3db5e005e82f19758,pedageneric,1,Daxes,True,100,tiger,tiger,2019-10-16T20:26:54.000Z
0b47763ec87aa5d3db5e005e82f19758,pedageneric,1,Feps,True,100,tiger,tiger,2019-10-16T20:26:54.000Z
0b47763ec87aa5d3db5e005e82f19758,pedageneric,0.97,Blickets,True,100,tiger,tiger,2019-10-16T20:26:54.000Z
3c1d3dced02667537f6e8124b33cf77f,generic,0.76,Blickets,,100,evergreen,evergreen,2019-10-16T20:39:19.000Z
3c1d3dced02667537f6e8124b33cf77f,generic,0.76,Daxes,,100,evergreen,evergreen,2019-10-16T20:39:19.000Z
3c1d3dced02667537f6e8124b33cf77f,generic,0.96,Feps,,100,evergreen,evergreen,2019-10-16T20:39:19.000Z
619bf18baf4b345ecd6c4b5bf9334e23,pedagogical,1,Blickets,True,100,tiger,tiger,2019-10-16T21:34:15.000Z
619bf18baf4b345ecd6c4b5bf9334e23,pedagogical,1,Daxes,True,100,tiger,tiger,2019-10-16T21:34:15.000Z
619bf18baf4b345ecd6c4b5bf9334e23,pedagogical,1,Feps,True,100,tiger,tiger,2019-10-16T21:34:15.000Z
f8e6106706dae85dd1b4cf7ac554dc00,pedagogical,0.59,Feps,True,100,tiger,tiger,2019-10-16T20:25:37.000Z
f8e6106706dae85dd1b4cf7ac554dc00,pedagogical,0.63,Daxes,True,100,tiger,tiger,2019-10-16T20:25:37.000Z
f8e6106706dae85dd1b4cf7ac554dc00,pedagogical,0.64,Blickets,True,100,tiger,tiger,2019-10-16T20:25:37.000Z
17ab34eac150b6fa21a9fb344c971020,pedagogical,0.88,Blickets,True,100,tiger,tiger,2019-10-16T20:24:25.000Z
17ab34eac150b6fa21a9fb344c971020,pedagogical,0.87,Daxes,True,100,tiger,tiger,2019-10-16T20:24:25.000Z
17ab34eac150b6fa21a9fb344c971020,pedagogical,0.86,Feps,True,100,tiger,tiger,2019-10-16T20:24:25.000Z
8817a31b65faa1fb130ae682baa8e8f3,3accidental,0.92,Blickets,True,100,tiger,tiger,2019-10-17T14:07:22.000Z
8817a31b65faa1fb130ae682baa8e8f3,3accidental,0.5,Feps,True,100,tiger,tiger,2019-10-17T14:07:22.000Z
8817a31b65faa1fb130ae682baa8e8f3,3accidental,0.88,Daxes,True,100,tiger,tiger,2019-10-17T14:07:22.000Z
c2ff5dc7163194acef2e0cb4619a71df,generic,0.87,Daxes,,100,evergreen,evergreen,2019-10-14T23:33:34.000Z
c2ff5dc7163194acef2e0cb4619a71df,generic,0.87,Feps,,100,evergreen,evergreen,2019-10-14T23:33:34.000Z
c2ff5dc7163194acef2e0cb4619a71df,generic,0.98,Blickets,,100,evergreen,evergreen,2019-10-14T23:33:34.000Z
1bc6eba0c1e10927409a63707f1c25c9,3accidental,0.17,Daxes,True,100,tiger,tiger,2019-10-17T13:54:13.000Z
1bc6eba0c1e10927409a63707f1c25c9,3accidental,0.85,Blickets,True,100,tiger,tiger,2019-10-17T13:54:13.000Z
1bc6eba0c1e10927409a63707f1c25c9,3accidental,0.88,Feps,True,100,tiger,tiger,2019-10-17T13:54:13.000Z
602f491d5396dce1a7d84b5dfc94055d,accidental,0.7,Feps,True,100,evergreen,evergreen,2019-10-14T20:33:18.000Z
602f491d5396dce1a7d84b5dfc94055d,accidental,0.82,Daxes,True,100,evergreen,evergreen,2019-10-14T20:33:18.000Z
602f491d5396dce1a7d84b5dfc94055d,accidental,1,Blickets,True,100,evergreen,evergreen,2019-10-14T20:33:18.000Z
0a053a020885bf42ef821cc479d85309,3pedagogical,0.77,Feps,True,100,tiger,tiger,2019-10-17T13:45:47.000Z
0a053a020885bf42ef821cc479d85309,3pedagogical,0.73,Daxes,True,100,tiger,tiger,2019-10-17T13:45:47.000Z
0a053a020885bf42ef821cc479d85309,3pedagogical,0.72,Blickets,True,100,tiger,tiger,2019-10-17T13:45:47.000Z
5aa7fd62dd51fb12ef0bc4a5d37082ea,pedagogical,0.97,Blickets,True,100,tiger,tiger,2019-10-16T20:53:54.000Z
5aa7fd62dd51fb12ef0bc4a5d37082ea,pedagogical,0.96,Feps,True,100,tiger,tiger,2019-10-16T20:53:54.000Z
5aa7fd62dd51fb12ef0bc4a5d37082ea,pedagogical,0.96,Daxes,True,100,tiger,tiger,2019-10-16T20:53:54.000Z
479fba3a25df922053b0b5ec7ed75709,3pedagogical,0.9,Feps,True,100,evergreen,evergreen,2019-10-17T13:38:36.000Z
479fba3a25df922053b0b5ec7ed75709,3pedagogical,0.95,Blickets,True,100,evergreen,evergreen,2019-10-17T13:38:36.000Z
479fba3a25df922053b0b5ec7ed75709,3pedagogical,0.93,Daxes,True,100,evergreen,evergreen,2019-10-17T13:38:36.000Z
5435f80cfbb6fb8c41a6138e77b0147a,3accidental,0.81,Blickets,True,27,skyscraper,tiger,2019-10-17T13:58:09.000Z
5435f80cfbb6fb8c41a6138e77b0147a,3accidental,0.72,Daxes,True,27,skyscraper,tiger,2019-10-17T13:58:09.000Z
5435f80cfbb6fb8c41a6138e77b0147a,3accidental,0.74,Feps,True,27,skyscraper,tiger,2019-10-17T13:58:09.000Z
90b00e0895f30b64de17f7297f370dbf,3accidental,0.45,Feps,True,21,skyscraper,evergreen,2019-10-17T14:46:06.000Z
90b00e0895f30b64de17f7297f370dbf,3accidental,0.69,Daxes,True,21,skyscraper,evergreen,2019-10-17T14:46:06.000Z
90b00e0895f30b64de17f7297f370dbf,3accidental,0.57,Blickets,True,21,skyscraper,evergreen,2019-10-17T14:46:06.000Z
09983c48b144f2bfe1f2bb6f70e43233,accidental,0.77,Blickets,True,100,tiger,tiger,2019-10-14T21:12:22.000Z
09983c48b144f2bfe1f2bb6f70e43233,accidental,0.26,Feps,True,100,tiger,tiger,2019-10-14T21:12:22.000Z
09983c48b144f2bfe1f2bb6f70e43233,accidental,0.22,Daxes,True,100,tiger,tiger,2019-10-14T21:12:22.000Z
8bd7ad893c274f22ebdfa5cea8733697,accidental,0.8,Blickets,True,100,evergreen,evergreen,2019-10-14T20:15:50.000Z
8bd7ad893c274f22ebdfa5cea8733697,accidental,0.6,Feps,True,100,evergreen,evergreen,2019-10-14T20:15:50.000Z
8bd7ad893c274f22ebdfa5cea8733697,accidental,0.88,Daxes,True,100,evergreen,evergreen,2019-10-14T20:15:50.000Z
8617ef754cf8411e46c83cb7f820273a,3accidental,0.99,Feps,True,100,evergreen,evergreen,2019-10-17T13:46:22.000Z
8617ef754cf8411e46c83cb7f820273a,3accidental,0.98,Daxes,True,100,evergreen,evergreen,2019-10-17T13:46:22.000Z
8617ef754cf8411e46c83cb7f820273a,3accidental,0.98,Blickets,True,100,evergreen,evergreen,2019-10-17T13:46:22.000Z
556195759a54bad245f5cff4df04cf38,accidental,0.48,Feps,True,60,title,tiger,2019-10-14T20:20:05.000Z
556195759a54bad245f5cff4df04cf38,accidental,0.51,Blickets,False,60,title,tiger,2019-10-14T20:20:05.000Z
556195759a54bad245f5cff4df04cf38,accidental,0.49,Daxes,True,60,title,tiger,2019-10-14T20:20:05.000Z
916a9dd0566949e0d6c8a8c812b96428,3pedagogical,0.47,Feps,True,100,evergreen,evergreen,2019-10-17T13:39:44.000Z
916a9dd0566949e0d6c8a8c812b96428,3pedagogical,0.49,Blickets,True,100,evergreen,evergreen,2019-10-17T13:39:44.000Z
916a9dd0566949e0d6c8a8c812b96428,3pedagogical,0.34,Daxes,True,100,evergreen,evergreen,2019-10-17T13:39:44.000Z
033531a53debb026a5a45a59afb615ef,generic,0.98,Blickets,,100,tiger,tiger,2019-10-16T20:40:44.000Z
033531a53debb026a5a45a59afb615ef,generic,0.98,Daxes,,100,tiger,tiger,2019-10-16T20:40:44.000Z
033531a53debb026a5a45a59afb615ef,generic,0.99,Feps,,100,tiger,tiger,2019-10-16T20:40:44.000Z
bbb0ccc1a5e1178c73ff3168546753b1,generic,0.93,Daxes,,100,evergreen,evergreen,2019-10-16T21:26:03.000Z
bbb0ccc1a5e1178c73ff3168546753b1,generic,0.89,Feps,,100,evergreen,evergreen,2019-10-16T21:26:03.000Z
bbb0ccc1a5e1178c73ff3168546753b1,generic,0.87,Blickets,,100,evergreen,evergreen,2019-10-16T21:26:03.000Z
178feead1a82a9a4fdcaa9db9028f4dd,3accidental,0.35,Feps,True,100,evergreen,evergreen,2019-10-17T14:37:41.000Z
178feead1a82a9a4fdcaa9db9028f4dd,3accidental,0.98,Daxes,True,100,evergreen,evergreen,2019-10-17T14:37:41.000Z
178feead1a82a9a4fdcaa9db9028f4dd,3accidental,0.99,Blickets,True,100,evergreen,evergreen,2019-10-17T14:37:41.000Z
5576b74fcc1dd34f151326d245200229,accidental,0.22,Feps,True,100,evergreen,evergreen,2019-10-14T20:22:30.000Z
5576b74fcc1dd34f151326d245200229,accidental,0.95,Blickets,True,100,evergreen,evergreen,2019-10-14T20:22:30.000Z
5576b74fcc1dd34f151326d245200229,accidental,1,Daxes,True,100,evergreen,evergreen,2019-10-14T20:22:30.000Z
eccfff7cac7fc025b4b7f3ac276f3571,2accidental,0.42,Blickets,True,100,tiger,tiger,2019-10-16T21:34:17.000Z
eccfff7cac7fc025b4b7f3ac276f3571,2accidental,0.77,Daxes,True,100,tiger,tiger,2019-10-16T21:34:17.000Z
eccfff7cac7fc025b4b7f3ac276f3571,2accidental,0.1,Feps,True,100,tiger,tiger,2019-10-16T21:34:17.000Z
9b164bb894ba7df0ad22beb5db240509,pedageneric,1,Daxes,True,100,evergreen,evergreen,2019-10-14T20:48:02.000Z
9b164bb894ba7df0ad22beb5db240509,pedageneric,1,Blickets,True,100,evergreen,evergreen,2019-10-14T20:48:02.000Z
9b164bb894ba7df0ad22beb5db240509,pedageneric,1,Feps,True,100,evergreen,evergreen,2019-10-14T20:48:02.000Z
602f491d5396dce1a7d84b5dfc94055d,pedagogical,0.66,Daxes,True,100,tiger,tiger,2019-10-16T20:33:19.000Z
602f491d5396dce1a7d84b5dfc94055d,pedagogical,0.46,Feps,True,100,tiger,tiger,2019-10-16T20:33:19.000Z
602f491d5396dce1a7d84b5dfc94055d,pedagogical,0.87,Blickets,True,100,tiger,tiger,2019-10-16T20:33:19.000Z
5ce6913c71304c072a9ffb272761b8b2,3accidental,0.99,Daxes,True,100,tiger,tiger,2019-10-17T13:47:26.000Z
5ce6913c71304c072a9ffb272761b8b2,3accidental,0.96,Feps,True,100,tiger,tiger,2019-10-17T13:47:26.000Z
5ce6913c71304c072a9ffb272761b8b2,3accidental,0.92,Blickets,True,100,tiger,tiger,2019-10-17T13:47:26.000Z
0bd6cc8256d57837e52252e171e8a8c2,generic,0.91,Daxes,,100,evergreen,evergreen,2019-10-16T20:25:32.000Z
0bd6cc8256d57837e52252e171e8a8c2,generic,0.86,Feps,,100,evergreen,evergreen,2019-10-16T20:25:32.000Z
0bd6cc8256d57837e52252e171e8a8c2,generic,0.77,Blickets,,100,evergreen,evergreen,2019-10-16T20:25:32.000Z
d24b6499242630d18a3e65bdb53b36d1,accidental,0.49,Blickets,True,95,evergreen ,evergreen,2019-10-14T20:22:06.000Z
d24b6499242630d18a3e65bdb53b36d1,accidental,0.7,Feps,True,95,evergreen ,evergreen,2019-10-14T20:22:06.000Z
d24b6499242630d18a3e65bdb53b36d1,accidental,0.63,Daxes,True,95,evergreen ,evergreen,2019-10-14T20:22:06.000Z
ecac4b91285d44f0d5f1a964e71a82aa,generic,0.73,Blickets,,100,tiger,tiger,2019-10-15T00:37:52.000Z
ecac4b91285d44f0d5f1a964e71a82aa,generic,0.99,Daxes,,100,tiger,tiger,2019-10-15T00:37:52.000Z
ecac4b91285d44f0d5f1a964e71a82aa,generic,1,Feps,,100,tiger,tiger,2019-10-15T00:37:52.000Z
736596d900bb45f1ccc616d9d3f80b1d,generic,1,Daxes,,100,tiger,tiger,2019-10-16T20:28:45.000Z
736596d900bb45f1ccc616d9d3f80b1d,generic,1,Feps,,100,tiger,tiger,2019-10-16T20:28:45.000Z
736596d900bb45f1ccc616d9d3f80b1d,generic,1,Blickets,,100,tiger,tiger,2019-10-16T20:28:45.000Z
65ce2f85d05c5426d43bf214b81d67f5,generic,0.99,Feps,,100,tiger,tiger,2019-10-14T23:34:19.000Z
65ce2f85d05c5426d43bf214b81d67f5,generic,1,Blickets,,100,tiger,tiger,2019-10-14T23:34:19.000Z
65ce2f85d05c5426d43bf214b81d67f5,generic,0.99,Daxes,,100,tiger,tiger,2019-10-14T23:34:19.000Z
7d7715fdf52d94f4b8bdd8ed1e00a9ba,2pedagogical,0.7,Feps,True,100,evergreen,evergreen,2019-10-16T14:02:27.000Z
7d7715fdf52d94f4b8bdd8ed1e00a9ba,2pedagogical,0.95,Daxes,True,100,evergreen,evergreen,2019-10-16T14:02:27.000Z
7d7715fdf52d94f4b8bdd8ed1e00a9ba,2pedagogical,0.49,Blickets,True,100,evergreen,evergreen,2019-10-16T14:02:27.000Z
e514ca4dbd7061aadb16c3f04714b6d5,3accidental,0.5,Daxes,True,21,skyscraper,evergreen,2019-10-17T13:39:27.000Z
e514ca4dbd7061aadb16c3f04714b6d5,3accidental,0.71,Blickets,False,21,skyscraper,evergreen,2019-10-17T13:39:27.000Z
e514ca4dbd7061aadb16c3f04714b6d5,3accidental,0.92,Feps,True,21,skyscraper,evergreen,2019-10-17T13:39:27.000Z
9e8e78fb70af08c930a639980ddb992f,accidental,0.67,Blickets,True,100,evergreen,evergreen,2019-10-14T20:43:24.000Z
9e8e78fb70af08c930a639980ddb992f,accidental,0.67,Daxes,True,100,evergreen,evergreen,2019-10-14T20:43:24.000Z
9e8e78fb70af08c930a639980ddb992f,accidental,0.49,Feps,True,100,evergreen,evergreen,2019-10-14T20:43:24.000Z
2f0275f26c3ab7d50d55ab41ac35b29a,3pedagogical,1,Blickets,True,89,avergreen,evergreen,2019-10-17T13:44:43.000Z
2f0275f26c3ab7d50d55ab41ac35b29a,3pedagogical,1,Feps,True,89,avergreen,evergreen,2019-10-17T13:44:43.000Z
2f0275f26c3ab7d50d55ab41ac35b29a,3pedagogical,1,Daxes,True,89,avergreen,evergreen,2019-10-17T13:44:43.000Z
3ceeef0fcf15c0184e45a7fe5c395cba,generic,0.97,Feps,,100,evergreen,evergreen,2019-10-14T23:31:30.000Z
3ceeef0fcf15c0184e45a7fe5c395cba,generic,1,Blickets,,100,evergreen,evergreen,2019-10-14T23:31:30.000Z
3ceeef0fcf15c0184e45a7fe5c395cba,generic,1,Daxes,,100,evergreen,evergreen,2019-10-14T23:31:30.000Z
e95c1074a1ba9a3aeeb86bfdc05b02ce,pedageneric,1,Blickets,True,100,evergreen,evergreen,2019-10-14T21:07:25.000Z
e95c1074a1ba9a3aeeb86bfdc05b02ce,pedageneric,1,Daxes,True,100,evergreen,evergreen,2019-10-14T21:07:25.000Z
e95c1074a1ba9a3aeeb86bfdc05b02ce,pedageneric,0.98,Feps,True,100,evergreen,evergreen,2019-10-14T21:07:25.000Z
790620bbe30d01ae9ef226f11b4e9f49,3accidental,0.63,Daxes,True,100,evergreen,evergreen,2019-10-17T15:19:27.000Z
790620bbe30d01ae9ef226f11b4e9f49,3accidental,0.55,Feps,True,100,evergreen,evergreen,2019-10-17T15:19:27.000Z
790620bbe30d01ae9ef226f11b4e9f49,3accidental,0.36,Blickets,False,100,evergreen,evergreen,2019-10-17T15:19:27.000Z
34fc2707c7831a3d78e1f9199b8d93ac,pedagogical,0.76,Feps,True,100,evergreen,evergreen,2019-10-14T20:07:59.000Z
34fc2707c7831a3d78e1f9199b8d93ac,pedagogical,0.93,Daxes,True,100,evergreen,evergreen,2019-10-14T20:07:59.000Z
34fc2707c7831a3d78e1f9199b8d93ac,pedagogical,0.96,Blickets,True,100,evergreen,evergreen,2019-10-14T20:07:59.000Z
736596d900bb45f1ccc616d9d3f80b1d,accidental,0.86,Blickets,True,100,evergreen,evergreen,2019-10-14T20:06:26.000Z
736596d900bb45f1ccc616d9d3f80b1d,accidental,0.86,Daxes,True,100,evergreen,evergreen,2019-10-14T20:06:26.000Z
736596d900bb45f1ccc616d9d3f80b1d,accidental,0.95,Feps,True,100,evergreen,evergreen,2019-10-14T20:06:26.000Z
1b54759ea55719e7c654aedd3f1b73b4,accidental,0.74,Blickets,True,100,Evergreen,evergreen,2019-10-14T20:50:19.000Z
1b54759ea55719e7c654aedd3f1b73b4,accidental,0.55,Feps,True,100,Evergreen,evergreen,2019-10-14T20:50:19.000Z
1b54759ea55719e7c654aedd3f1b73b4,accidental,0.89,Daxes,True,100,Evergreen,evergreen,2019-10-14T20:50:19.000Z
fc00f47015ccb1e48cc262392710b8c1,pedageneric,1,Feps,True,100,tiger,tiger,2019-10-14T20:01:10.000Z
fc00f47015ccb1e48cc262392710b8c1,pedageneric,1,Daxes,True,100,tiger,tiger,2019-10-14T20:01:10.000Z
fc00f47015ccb1e48cc262392710b8c1,pedageneric,0.51,Blickets,False,100,tiger,tiger,2019-10-14T20:01:10.000Z
b3dc291b79c2cd3c4561af477445ab11,3pedagogical,1,Blickets,True,100,tiger,tiger,2019-10-17T13:38:40.000Z
b3dc291b79c2cd3c4561af477445ab11,3pedagogical,1,Daxes,True,100,tiger,tiger,2019-10-17T13:38:40.000Z
b3dc291b79c2cd3c4561af477445ab11,3pedagogical,1,Feps,True,100,tiger,tiger,2019-10-17T13:38:40.000Z
c57782a4b3ef49679915e2010a276de5,2pedagogical,0.84,Blickets,True,100,tiger,tiger,2019-10-16T13:58:54.000Z
c57782a4b3ef49679915e2010a276de5,2pedagogical,0.82,Feps,True,100,tiger,tiger,2019-10-16T13:58:54.000Z
c57782a4b3ef49679915e2010a276de5,2pedagogical,0.85,Daxes,True,100,tiger,tiger,2019-10-16T13:58:54.000Z
3841cdf562c6a2a01ba58db0dc34864b,pedagogical,0.72,Daxes,True,100,evergreen,evergreen,2019-10-14T20:13:02.000Z
3841cdf562c6a2a01ba58db0dc34864b,pedagogical,0.74,Blickets,True,100,evergreen,evergreen,2019-10-14T20:13:02.000Z
3841cdf562c6a2a01ba58db0dc34864b,pedagogical,0.64,Feps,True,100,evergreen,evergreen,2019-10-14T20:13:02.000Z
8955fb370e5a485349bf7d5e365a9971,3accidental,0.52,Feps,True,100,tiger,tiger,2019-10-17T14:37:36.000Z
8955fb370e5a485349bf7d5e365a9971,3accidental,0.68,Daxes,True,100,tiger,tiger,2019-10-17T14:37:36.000Z
