workerid,proliferate.condition,correct_answer,num_fails,responses,trial_time_in_seconds,trial_type,error
96,pedagogical-2,Patricia,0,['Patricia'],10.552,botcaptcha,
96,pedagogical-2,shadow,0,['shadow'],13.409,sound_response,
116,pedagogical-2,Sarah,0,['Sarah'],5.671,botcaptcha,
116,pedagogical-2,shadow,0,['Shadow'],14.37,sound_response,
112,pedagogical-2,Jennifer,0,['Jennifer'],10.876,botcaptcha,
112,pedagogical-2,tiger,0,['tiger'],7.205,sound_response,
128,pedagogical-2,Linda,0,['Linda'],14.122,botcaptcha,
128,pedagogical-2,shadow,0,['shadow'],14.027,sound_response,
64,pedagogical-2,Jennifer,0,['Jennifer'],16.073,botcaptcha,
64,pedagogical-2,shadow,0,['shadow'],12.092,sound_response,
100,pedagogical-2,Margaret,0,['Margaret'],12.568,botcaptcha,
100,pedagogical-2,tiger,0,['tiger'],12.977,sound_response,
88,pedagogical-2,Patricia,0,['Patricia'],9.303,botcaptcha,
88,pedagogical-2,shadow,0,['shadow'],12.389,sound_response,
52,pedagogical-2,Jessica,0,['Jessica'],13.936,botcaptcha,
52,pedagogical-2,shadow,0,['Shadow'],25.513,sound_response,
56,pedagogical-2,Jennifer,0,['Jennifer'],9.25,botcaptcha,
56,pedagogical-2,shadow,0,['Shadow'],19.398,sound_response,
72,pedagogical-2,Sarah,0,['Sarah'],9.392,botcaptcha,
72,pedagogical-2,shadow,0,['shadow'],10.859,sound_response,
80,pedagogical-2,Barbara,0,['Barbara'],81.11,botcaptcha,
80,pedagogical-2,tiger,0,['Tiger'],87.918,sound_response,
120,pedagogical-2,Susan,0,['Susan'],8.142,botcaptcha,
120,pedagogical-2,shadow,1,"['Shadow ', 'Shadow']",16.478,sound_response,
92,pedagogical-2,Sarah,0,['sarah'],9.991,botcaptcha,
92,pedagogical-2,tiger,0,['tiger'],12.062,sound_response,
60,pedagogical-2,Margaret,0,['Margaret'],15.453,botcaptcha,
60,pedagogical-2,tiger,0,['Tiger'],18.415,sound_response,
108,pedagogical-2,Susan,0,['Susan'],39.334,botcaptcha,
108,pedagogical-2,shadow,0,['Shadow'],32.101,sound_response,
76,pedagogical-2,Mary,0,['Mary'],5.586,botcaptcha,
76,pedagogical-2,tiger,0,['Tiger'],7.628,sound_response,
104,pedagogical-2,Jennifer,0,['Jennifer'],4.968,botcaptcha,
104,pedagogical-2,shadow,0,['shadow'],4.851,sound_response,
84,pedagogical-2,Mary,0,['mary'],7.99,botcaptcha,
84,pedagogical-2,tiger,0,['tiger'],15.178,sound_response,
124,pedagogical-2,Jennifer,0,['Jennifer'],11.653,botcaptcha,
124,pedagogical-2,tiger,0,['Tiger'],15.196,sound_response,
67,naive-2,Barbara,0,['Barbara'],10.005,botcaptcha,
67,naive-2,shadow,0,['shadow'],7.582,sound_response,
99,naive-2,Jessica,0,['Jessica'],17.346,botcaptcha,
99,naive-2,shadow,0,['Shadow'],25.415,sound_response,
126,naive-2,Sarah,0,['Sarah'],7.539,botcaptcha,
126,naive-2,tiger,0,['tiger'],8.428,sound_response,
89,naive-2,Sarah,0,['Sarah'],9.032,botcaptcha,
89,naive-2,tiger,0,['tiger'],20.509,sound_response,
123,naive-2,Barbara,0,['Barbara'],6.897,botcaptcha,
123,naive-2,tiger,0,['tiger'],11.456,sound_response,
51,naive-2,Elizabeth,0,['Elizabeth'],9.97,botcaptcha,
51,naive-2,shadow,0,['Shadow'],13.695,sound_response,
71,naive-2,Elizabeth,0,['Elizabeth'],59.495,botcaptcha,
71,naive-2,shadow,0,['shadow'],35.506,sound_response,
87,naive-2,Mary,0,['Mary'],4.538,botcaptcha,
87,naive-2,shadow,0,['shadow'],225.154,sound_response,
