workerid,proliferate.condition,age,assess,comments,education,fairprice,gender,language,problems,error
15,accidental-1,44,Yes,,4,,Female,English,,
34,accidental-1,26,Yes,,3,.65 pounds,Female,English,No,
17,accidental-1,20,Yes,No,0,0.50,Male,English,No,
20,accidental-1,20,Yes,,2,yes,Female,english,no,
30,accidental-1,61,Yes,,4,50 cents,Male,English,no,
27,accidental-1,25,Yes,,4,$.50,Female,English,no,
26,accidental-1,20,Yes,Why is the researcher a sheep?,2,0.85,Female,English,no,
32,accidental-1,32,Yes,,2,0.50,Female,english,,
24,accidental-1,27,Yes,,3,Yes,Female,English,No,
22,accidental-1,29,Yes,,3,0.25,Female,English,No,
19,pedagogical-1,22,Yes,No.,3,$2.00,Male,English,No.,
31,pedagogical-1,60,Yes,Might give me some new ideas for a story! ,2,$1.00,Female,,no,
33,pedagogical-1,18,Confused,,2,$.84,Female,English ,No,
21,pedagogical-1,28,Yes,No,3,Yes,Female,English,No,
23,pedagogical-1,28,Yes,,3,$0.50,Female,English,no,
25,pedagogical-1,18,Confused,,1,,Male,Polish,,
35,pedagogical-1,26,Yes,,4,$0.5,Male,English,,
29,pedagogical-1,22,,,3,,Female,English,No,
14,pedagogical-1,,,,-1,,,,,
18,pedagogical-1,37,Yes,--,3,current price seems fair,Other,English,no,
28,pedagogical-1,25,Yes,"At the start, I thought the blicket was referring to the cloth covering the flower",3,$1,Female,Chinese,,
