workerid,proliferate.condition,item_presentation_condition,n_examples,error
15,accidental-1,accidental,1,
34,accidental-1,accidental,1,
17,accidental-1,accidental,1,
20,accidental-1,accidental,1,
30,accidental-1,accidental,1,
27,accidental-1,accidental,1,
26,accidental-1,accidental,1,
32,accidental-1,accidental,1,
24,accidental-1,accidental,1,
22,accidental-1,accidental,1,
19,pedagogical-1,pedagogical,1,
31,pedagogical-1,pedagogical,1,
33,pedagogical-1,pedagogical,1,
21,pedagogical-1,pedagogical,1,
23,pedagogical-1,pedagogical,1,
25,pedagogical-1,pedagogical,1,
35,pedagogical-1,pedagogical,1,
29,pedagogical-1,accidental,1,
14,pedagogical-1,pedagogical,1,
18,pedagogical-1,pedagogical,1,
28,pedagogical-1,pedagogical,1,
