workerid,proliferate.condition,prolific_participant_id,error
15,accidental-1,5e8b8cc12cb7e5071952df3d,
34,accidental-1,5f00224db69f9e127e493740,
17,accidental-1,5f7f3492fb35b408dbdaf18e,
20,accidental-1,5e8a98c429d9ca74c0b1d663,
30,accidental-1,5f1c5650ff2a664d2a99412d,
27,accidental-1,5c1174ac6d1ac9000101fbf3,
26,accidental-1,5f2dddce8d98741203ca1048,
32,accidental-1,5b7facd6c4e6ad0001d3ea48,
24,accidental-1,5e83c7c0755bf411bba8e5b4,
22,accidental-1,5e881eaa0d7d0a49fbd76fc5,
19,pedagogical-1,5f7a35995e760b137848252b,
31,pedagogical-1,5e165ca7b199e4c3e12c57e6,
33,pedagogical-1,5f13786da54419389fc40b64,
21,pedagogical-1,5be6e6081781990001f7f492,
23,pedagogical-1,5ba57ef589460700015fb40f,
25,pedagogical-1,5f7ee321ca4a551d1731120e,
35,pedagogical-1,5dc1d46eb63adf12ee73b125,
29,pedagogical-1,5f3ea489f7e4390fff090f48,
14,pedagogical-1,TEST,
18,pedagogical-1,5f3ae0a33ccf7478ecf76ce2,
28,pedagogical-1,5f526f5ed7f57c518e81142c,
