workerid,proliferate.condition,Browser,OS,screenH,screenW,error
15,accidental-1,Firefox,Windows,1080,1920,
34,accidental-1,Chrome,Windows,864,1536,
17,accidental-1,Chrome,Windows,1080,1920,
20,accidental-1,Chrome,Mac,900,1440,
30,accidental-1,Firefox,Windows,768,1366,
27,accidental-1,Safari,Mac,800,1280,
26,accidental-1,Chrome,Windows,864,1536,
32,accidental-1,Chrome,Linux,1280,800,
24,accidental-1,Chrome,Windows,800,1280,
22,accidental-1,Chrome,Mac,1080,1920,
19,pedagogical-1,Chrome,Windows,864,1536,
31,pedagogical-1,Firefox,Windows,800,1280,
33,pedagogical-1,Safari,iPhone/iPod,667,375,
21,pedagogical-1,Chrome,Windows,1728,3072,
23,pedagogical-1,Chrome,Windows,1080,2560,
25,pedagogical-1,Chrome,Windows,1080,1920,
35,pedagogical-1,Firefox,Windows,1080,1920,
29,pedagogical-1,Chrome,Linux,640,360,
14,pedagogical-1,Chrome,Windows,864,1536,
18,pedagogical-1,Safari,Mac,900,1440,
28,pedagogical-1,Safari,iPhone/iPod,896,414,
