workerid,proliferate.condition,agent,background,item_name,item_presentation_condition,n_examples,object,property,speaker,trial_num,trial_time_in_seconds,trial_type,error
15,accidental-1,,,,,,,,,0,4.763,introduction,
15,accidental-1,Dog,4,blicket,accidental,1,flower,purple petals,mh,1,,trial,
34,accidental-1,,,,,,,,,0,7.295,introduction,
34,accidental-1,Monkey,9,fep,accidental,1,flower,purple petals,mh,1,,trial,
17,accidental-1,,,,,,,,,0,16.911,introduction,
17,accidental-1,Pig,3,dax,accidental,1,flower,purple petals,mh,1,,trial,
20,accidental-1,,,,,,,,,0,6.161,introduction,
20,accidental-1,Cat,10,blicket,accidental,1,artifact,squeaking,sb,1,,trial,
30,accidental-1,,,,,,,,,0,15.674,introduction,
30,accidental-1,Tiger,2,dax,accidental,1,artifact,squeaking,sb,1,,trial,
27,accidental-1,,,,,,,,,0,4.689,introduction,
27,accidental-1,Dog,4,fep,accidental,1,flower,purple petals,sb,1,,trial,
26,accidental-1,,,,,,,,,0,5.811,introduction,
26,accidental-1,Sheep,10,blicket,accidental,1,artifact,squeaking,sb,1,,trial,
32,accidental-1,,,,,,,,,0,10.042,introduction,
32,accidental-1,Elephant,5,fep,accidental,1,artifact,squeaking,sb,1,,trial,
24,accidental-1,,,,,,,,,0,4.342,introduction,
24,accidental-1,Tiger,5,blicket,accidental,1,bird,green feathers,tg,1,,trial,
22,accidental-1,,,,,,,,,0,9.082,introduction,
22,accidental-1,Dog,7,blicket,accidental,1,flower,purple petals,mh,1,,trial,
19,pedagogical-1,,,,,,,,,0,5.19,introduction,
19,pedagogical-1,Cat,3,fep,pedagogical,1,artifact,squeaking,sb,1,,trial,
31,pedagogical-1,,,,,,,,,0,9.954,introduction,
31,pedagogical-1,Elephant,8,fep,pedagogical,1,artifact,squeaking,tg,1,,trial,
33,pedagogical-1,,,,,,,,,0,8.482,introduction,
33,pedagogical-1,Tiger,6,fep,pedagogical,1,flower,purple petals,tg,1,,trial,
21,pedagogical-1,,,,,,,,,0,9.042,introduction,
21,pedagogical-1,Tiger,6,dax,pedagogical,1,flower,purple petals,sb,1,,trial,
23,pedagogical-1,,,,,,,,,0,2.802,introduction,
23,pedagogical-1,Sheep,10,blicket,pedagogical,1,artifact,squeaking,mh,1,,trial,
25,pedagogical-1,,,,,,,,,0,8.543,introduction,
25,pedagogical-1,Tiger,4,fep,pedagogical,1,artifact,squeaking,tg,1,,trial,
35,pedagogical-1,,,,,,,,,0,4.753,introduction,
35,pedagogical-1,Monkey,3,fep,pedagogical,1,artifact,squeaking,tg,1,,trial,
29,pedagogical-1,,,,,,,,,0,19.709,introduction,
29,pedagogical-1,Bear,1,dax,accidental,1,bird,green feathers,sb,1,,trial,
14,pedagogical-1,,,,,,,,,0,0.815,introduction,
14,pedagogical-1,Pig,3,blicket,pedagogical,1,artifact,squeaking,mh,1,,trial,
18,pedagogical-1,,,,,,,,,0,8.155,introduction,
18,pedagogical-1,Tiger,4,dax,pedagogical,1,flower,purple petals,tg,1,,trial,
28,pedagogical-1,,,,,,,,,0,4.861,introduction,
28,pedagogical-1,Tiger,2,blicket,pedagogical,1,flower,purple petals,sb,1,,trial,
