workerid,proliferate.condition,correct_answer,is_correct,prompt,response,response_time_in_seconds,response_type,trial_num,error
96,pedagogical-2,NA,True,Would you say the following is true?,0.98,6.059,slider,1,
96,pedagogical-2,['blicket'],True,What is the name of the item you learned about? Please select its name from the options below.,['blicket'],4.959,grid,2,
96,pedagogical-2,been_while,True,Please refer to the image below. How long has this character been doing research on this planet?,been_while,7.534,mc,3,
96,pedagogical-2,yes_preknowledge,True,Please refer to the image below. Did this character know that blickets could have purple petals before you observed it together?,yes_preknowledge,7.657,mc,4,
96,pedagogical-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.","The researcher cat had been on the planet for awhile, I was a new arriver. Upon arrival the researcher introduced me to a blicket, two of them, which are plants, and then showed me that they produce purple petals. ",45.326,freeform,5,
116,pedagogical-2,NA,True,Would you say the following is true?,1,26.057,slider,1,
116,pedagogical-2,['fep'],True,What is the name of the item you learned about? Please select its name from the options below.,['fep'],8.388,grid,2,
116,pedagogical-2,been_while,True,Please refer to the image below. How long has this character been doing research on this planet?,been_while,18.991,mc,3,
116,pedagogical-2,yes_preknowledge,True,Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?,yes_preknowledge,17.889,mc,4,
116,pedagogical-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",The experiment demonstrated a scenario in which the participant was introduced to an organism they did not have prior experience with. The participant was then asked about their confidence in making deductions and assumptions about the organism based on their perception of the situation in which they were introduced to the organism.,182.947,freeform,5,
112,pedagogical-2,NA,True,Would you say the following is true?,0.99,2.928,slider,1,
112,pedagogical-2,['fep'],True,What is the name of the item you learned about? Please select its name from the options below.,['fep'],4.332,grid,2,
112,pedagogical-2,been_while,True,Please refer to the image below. How long has this character been doing research on this planet?,been_while,5.902,mc,3,
112,pedagogical-2,yes_preknowledge,True,Please refer to the image below. Did this character know that feps could squeak before you observed it together?,yes_preknowledge,7.037,mc,4,
112,pedagogical-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",I was asked to observe what happened and learned that a certain item squeaks.,33.419,freeform,5,
128,pedagogical-2,NA,True,Would you say the following is true?,0.75,4.229,slider,1,
128,pedagogical-2,['blicket'],True,What is the name of the item you learned about? Please select its name from the options below.,['blicket'],6.817,grid,2,
128,pedagogical-2,been_while,True,Please refer to the image below. How long has this character been doing research on this planet?,been_while,7.344,mc,3,
128,pedagogical-2,yes_preknowledge,True,Please refer to the image below. Did this character know that blickets could have purple petals before you observed it together?,yes_preknowledge,5.343,mc,4,
128,pedagogical-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",Tiger pulled off covers of the Blickets to reveal purple flowers.,33.23,freeform,5,
64,pedagogical-2,NA,True,Would you say the following is true?,1,7.019,slider,1,
64,pedagogical-2,['fep'],True,What is the name of the item you learned about? Please select its name from the options below.,['fep'],7.765,grid,2,
64,pedagogical-2,been_while,True,Please refer to the image below. How long has this character been doing research on this planet?,been_while,8.936,mc,3,
64,pedagogical-2,yes_preknowledge,True,Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?,yes_preknowledge,10.024,mc,4,
64,pedagogical-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",The pig lady took over the cover and the FEPS bloomed. The FEPS that she had bloomed with purple petals. Or the FEBS looked like something that we call blooming. ,45.858,freeform,5,
100,pedagogical-2,NA,True,Would you say the following is true?,0.82,7.694,slider,1,
100,pedagogical-2,['fep'],True,What is the name of the item you learned about? Please select its name from the options below.,['fep'],2.963,grid,2,
100,pedagogical-2,been_while,True,Please refer to the image below. How long has this character been doing research on this planet?,been_while,6.617,mc,3,
100,pedagogical-2,yes_preknowledge,True,Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?,yes_preknowledge,6.967,mc,4,
100,pedagogical-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",I saw some feps and they both had purple petals.,64.371,freeform,5,
88,pedagogical-2,NA,True,Would you say the following is true?,1,5.295,slider,1,
88,pedagogical-2,['dax'],True,What is the name of the item you learned about? Please select its name from the options below.,['dax'],5.397,grid,2,
88,pedagogical-2,been_while,True,Please refer to the image below. How long has this character been doing research on this planet?,been_while,4.978,mc,3,
88,pedagogical-2,yes_preknowledge,True,Please refer to the image below. Did this character know that daxes could squeak before you observed it together?,yes_preknowledge,4.463,mc,4,
88,pedagogical-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",A scientist who has been studying the planet showed me two creatures known as Daxes. The scientist then demonstrated squeaking from both of the Daxes.,43.124,freeform,5,
52,pedagogical-2,NA,True,Would you say the following is true?,0.69,9.771,slider,1,
52,pedagogical-2,['fep'],True,What is the name of the item you learned about? Please select its name from the options below.,['fep'],8.636,grid,2,
52,pedagogical-2,been_while,True,Please refer to the image below. How long has this character been doing research on this planet?,been_while,9.961,mc,3,
52,pedagogical-2,yes_preknowledge,True,Please refer to the image below. Did this character know that feps could have purple petals before you observed it together?,yes_preknowledge,8.817,mc,4,
52,pedagogical-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.","The character showed me the alien organism called fep, which has purple petals.",47.282,freeform,5,
56,pedagogical-2,NA,True,Would you say the following is true?,1,5.286,slider,1,
56,pedagogical-2,['dax'],True,What is the name of the item you learned about? Please select its name from the options below.,['dax'],21.336,grid,2,
56,pedagogical-2,been_while,True,Please refer to the image below. How long has this character been doing research on this planet?,been_while,10.967,mc,3,
56,pedagogical-2,yes_preknowledge,False,Please refer to the image below. Did this character know that daxes could have purple petals before you observed it together?,no_preknowledge,28.581,mc,4,
56,pedagogical-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",A tiger demonstrated their knowledge on items from another laney.,31.297,freeform,5,
72,pedagogical-2,NA,True,Would you say the following is true?,0.99,6.992,slider,1,
72,pedagogical-2,['dax'],True,What is the name of the item you learned about? Please select its name from the options below.,['dax'],4.74,grid,2,
72,pedagogical-2,been_while,True,Please refer to the image below. How long has this character been doing research on this planet?,been_while,6.409,mc,3,
72,pedagogical-2,yes_preknowledge,True,Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?,yes_preknowledge,10.591,mc,4,
72,pedagogical-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",The monkey is a researcher who knows all about daxes and shows that the two daxes have green feathers.,51.677,freeform,5,
80,pedagogical-2,NA,True,Would you say the following is true?,0.36,25.971,slider,1,
80,pedagogical-2,['dax'],True,What is the name of the item you learned about? Please select its name from the options below.,['dax'],25.699,grid,2,
80,pedagogical-2,been_while,True,Please refer to the image below. How long has this character been doing research on this planet?,been_while,35.223,mc,3,
80,pedagogical-2,yes_preknowledge,True,Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?,yes_preknowledge,32.104,mc,4,
80,pedagogical-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",The birds changed color.,245.105,freeform,5,
120,pedagogical-2,NA,True,Would you say the following is true?,0.67,3.266,slider,1,
120,pedagogical-2,['dax'],True,What is the name of the item you learned about? Please select its name from the options below.,['dax'],5.992,grid,2,
120,pedagogical-2,been_while,True,Please refer to the image below. How long has this character been doing research on this planet?,been_while,6.748,mc,3,
120,pedagogical-2,yes_preknowledge,True,Please refer to the image below. Did this character know that daxes could have purple petals before you observed it together?,yes_preknowledge,8.181,mc,4,
120,pedagogical-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",I went to a Faraway planet and saw a monkey scientist who showed me that daxes have purple petals,25.389,freeform,5,
92,pedagogical-2,NA,True,Would you say the following is true?,1,4.162,slider,1,
92,pedagogical-2,['dax'],True,What is the name of the item you learned about? Please select its name from the options below.,['dax'],5.417,grid,2,
92,pedagogical-2,been_while,True,Please refer to the image below. How long has this character been doing research on this planet?,been_while,5.908,mc,3,
92,pedagogical-2,yes_preknowledge,True,Please refer to the image below. Did this character know that daxes could have purple petals before you observed it together?,yes_preknowledge,10.867,mc,4,
92,pedagogical-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",a researched showed daxes with purple petals.,27.282,freeform,5,
60,pedagogical-2,NA,True,Would you say the following is true?,1,11.462,slider,1,
60,pedagogical-2,['dax'],True,What is the name of the item you learned about? Please select its name from the options below.,['dax'],8.47,grid,2,
60,pedagogical-2,been_while,True,Please refer to the image below. How long has this character been doing research on this planet?,been_while,7.853,mc,3,
60,pedagogical-2,yes_preknowledge,True,Please refer to the image below. Did this character know that daxes could have purple petals before you observed it together?,yes_preknowledge,15.81,mc,4,
60,pedagogical-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",I watched a scientist show me a dax with purple petals  ,89.355,freeform,5,
108,pedagogical-2,NA,True,Would you say the following is true?,0.75,7.624,slider,1,
108,pedagogical-2,['blicket'],True,What is the name of the item you learned about? Please select its name from the options below.,['blicket'],11.357,grid,2,
108,pedagogical-2,just_arrived,True,Please refer to the image below. How long has this character been doing research on this planet?,just_arrived,41.825,mc,3,
108,pedagogical-2,no_preknowledge,True,Please refer to the image below. Did this character know that blickets could have purple petals before you observed it together?,no_preknowledge,11.607,mc,4,
108,pedagogical-2,NA,True,"In the text box below, please describe briefly what happened in this experiment.",The researcher found two blocker  and discovered that they are purple petals.,83.807,freeform,5,
76,pedagogical-2,NA,True,Would you say the following is true?,0.87,4.011,slider,1,
