workerid,proliferate.condition,age,assess,comments,education,fairprice,gender,language,problems,error
96,pedagogical-2,30,Yes,,2,1.00,Female,english,no,
116,pedagogical-2,36,Yes,,2,$0.75,Female,English,No,
112,pedagogical-2,29,Yes,I'd be excited to see the results of this study,4,no,Male,English,no,
128,pedagogical-2,44,Yes,none,2,100,Male,english,none,
64,pedagogical-2,59,No,,4,yes,,English,No,
100,pedagogical-2,34,Yes,thank you,2,0.64,Male,english,no,
88,pedagogical-2,18,Yes,no,1,yes,Other,English,nope,
52,pedagogical-2,24,Yes,,3,Yes,Male,English,No,
56,pedagogical-2,40,Yes,,2,50¢,Female,English,,
72,pedagogical-2,18,Yes,N/A,2,$0.80,Female,Mandarin Chinese,No,
80,pedagogical-2,35,Yes,I like all this survey questions.,3,Yes,Male,English,No,
120,pedagogical-2,34,Yes,,4,0.80,Male,English ,,
92,pedagogical-2,24,Yes,no,3,0.65,Male,English,no,
60,pedagogical-2,23,Yes,,1,1USD,Male,English,no,
108,pedagogical-2,28,Yes, No,3,Yes,Female,English, No,
76,pedagogical-2,19,No,,2,Yes,Male,English,no,
104,pedagogical-2,22,No,,3,?,Male,English,nope,
84,pedagogical-2,22,Yes,,2,yes,Female,english,no,
124,pedagogical-2,43,Yes,,2,.89,Male,English,No,
67,naive-2,21,Yes,"This was neat, but I'm starting to think I put too much thought into it.",2,1.00,Male,English,,
99,naive-2,19,Yes,Thank you!,2,0.80,Male,English,"One attention check question was mildly confusing. It questioned if the researcher was new or not. The researcher knew nothing about feps, and it seemed like she was new. It is simple to overthink and incorrectly answer the attention check question. Please consider this for future studies.",
126,naive-2,20,Yes,,2,3 dollars,Male,French,no,
89,naive-2,18,Yes,,1,$0.80,Male,English,No.,
123,naive-2,38,Yes,,3,0.65 pound,Male,English,No,
51,naive-2,30,Yes,,1,.60,Male,English,No,
71,naive-2,39,Yes,it was a nice survey.,4,1$,Male,English,no,
87,naive-2,19,Yes,,2,1.00,Male,English,No,
103,naive-2,28,No,,3,1,Male,Arabic,No,
82,naive-2,19,Yes,I enjoy this. Thank You.,1,Yeah,Female,English,no,
63,naive-2,50,Yes,,3,.10,Female,English,No,
59,naive-2,43,Yes,thank you,1,1.00,Male,spanish,no,
118,naive-2,30,Yes,,1,,Male,English,,
55,naive-2,46,Yes,,3,$1,Male,English,no,
105,naive-2,20,Yes,,1,,Male,English,No,
115,naive-2,39,Yes,,3,1.00,Male,English,,
79,naive-2,19,Yes,,2,ehh like a buck,Male,"Spanish, English",,
94,naive-2,32,Yes,,4,10,Female,English,Yes all the voices came at the end of my experiment,
74,naive-2,56,Yes,,2,.65 cents,Male,English,No,
111,naive-2,39,Yes,Thanks,4,YES,Female,ENGLISH,NO,
119,naive-1,21,Yes,,2,$.65,Female,English,No!,
98,naive-1,34,Yes,Great Experienced!,3,.50,Female,Tagalog,no,
83,naive-1,27,No,nope!,3,$0.75,Female,Englisj,nope!,
91,naive-1,35,Yes,,2,,Female,English,,
54,naive-1,36,Yes,no comments.,4,yes,Male,English,no,
114,naive-1,19,Yes,,2,$1,Male,chinese/english,no,
95,naive-1,18,Yes,,1,$1,Female,Vietnamese,,
62,naive-1,37,Yes,,3,.65,Female,English,the sound for the sound check didn't work at first so I had to refresh the page,
110,naive-1,39,Yes,No,2,1.00,Female,English,,
78,naive-1,37,Yes,N/A,3,50cents,Female,English,no,
70,naive-1,54,Yes,,3,3.50,Male,English ,No,
122,naive-1,22,No,The petals disappeared after the pig commented on them and I wasn't sure if that was intentional or not so I didn't comment on it.,3,50 cents,Female,English,None,
86,naive-1,19,Yes,No comments ,2,0.68,Female,English,No.,
107,naive-1,25,Yes,,3,.70,Female,English,no,
50,naive-1,20,Yes,,2,,Male,English,,
58,naive-1,69,Yes,,4,1.50,Male,English,no,
66,naive-1,54,Yes,No,2,.75,Female,English,No,
75,naive-1,25,Yes,"I figured it was likely that blickets have green feathers as a whole because the researcher was new to the planet, but would be less confident if the researcher was not. Good luck with the study!",4,Yes.,Female,English,No.,
36,accidental-1,34,Yes,"None, but thank you",3,.75,Female,English,no,
15,accidental-1,44,Yes,,4,,Female,English,,
150,accidental-1,30,Yes,no,3,.75,Female,English,no,
144,accidental-1,27,Yes,,4,1,Female,English,No,
34,accidental-1,26,Yes,,3,.65 pounds,Female,English,No,
148,accidental-1,21,Yes,,3,yes,Male,Chinese,no,
17,accidental-1,20,Yes,No,0,0.50,Male,English,No,
142,accidental-1,23,Yes,Nope.,3,$1.00,Male,Chinese,No,
20,accidental-1,20,Yes,,2,yes,Female,english,no,
30,accidental-1,61,Yes,,4,50 cents,Male,English,no,
27,accidental-1,25,Yes,,4,$.50,Female,English,no,
140,accidental-1,24,Yes,,1,Yes,Male,English,No,
26,accidental-1,20,Yes,Why is the researcher a sheep?,2,0.85,Female,English,no,
32,accidental-1,32,Yes,,2,0.50,Female,english,,
147,accidental-1,32,Yes,Interesting,4,Bonus,Female,English,No,
24,accidental-1,27,Yes,,3,Yes,Female,English,No,
22,accidental-1,29,Yes,,3,0.25,Female,English,No,
90,accidental-2,36,Yes,No,3,$2,Male,English,No,
53,accidental-2,31,Yes,,3,,Female,English,no,
135,accidental-2,29,No,"No it was cute, I am an artist and want to draw Fep's now  haha.",3, £8.40/hr,Female,English,no,
57,accidental-2,30,Yes,,3,$1,Male,Cantonese,,
93,accidental-2,52,Yes,"This was fun, thank you for the opportunity to participate ",3,Yes,Male,English,,
139,accidental-2,28,Yes,n/a,2,.20,Male,English,no,
85,accidental-2,19,Yes,,1,0.8,Female,English,No,
134,accidental-2,29,Yes,,3,.65,Female,English,No,
136,accidental-2,22,Yes,No,3,1.00,Female,English,No,
65,accidental-2,23,Yes,Fun Study!,3,0.77,Male,English,No,
109,accidental-2,36,Yes,no,3,3.00,Female,English,no,
129,accidental-2,31,Yes,Interesting study,4,1.00,Male,English,,
81,accidental-2,19,Yes,,2,0.85,Female,English,,
138,accidental-2,37,Yes,no,3,1.00,Male,English,no,
101,accidental-2,41,Yes,None.,4,$1,Male,English,no,
77,accidental-2,53,Yes,,3,0.50,Female,English,no,
137,accidental-2,45,Yes,,4,,Male,english,,
133,accidental-2,46,Yes,,3,1.00,Male,English,No,
106,accidental-2,30,Yes,,3,,Male,English,nope,
125,accidental-2,19,Yes,,1,1.00,Male,English,No,
73,accidental-2,66,Yes,No,2,.50,Female,English,No,
69,accidental-2,22,Yes,N/A,2,$1.00,Female,en_US,No,
49,accidental-2,25,Yes,,3,,Female,English,,
132,accidental-2,37,Yes,,3,1,Male,English,no,
113,accidental-2,25,Yes,,2,0.70,Female,english,No,
97,accidental-2,24,Yes,None,2,2,Male,English,None,
61,accidental-2,20,Yes,No,2,.65,Male,English,No,
131,accidental-2,32,Yes,,2,,Male,english,,
117,accidental-2,23,Yes,,3,1 dollar,Female,English,No,
121,accidental-2,59,Yes,No comments.,4,$1.00,Male,English,No.,
130,accidental-2,30,Yes,,2,1.00,Male,english,I did not.,
149,pedagogical-1,38,Yes,No we're ok.,2,1$,Male,English,No,
19,pedagogical-1,22,Yes,No.,3,$2.00,Male,English,No.,
31,pedagogical-1,60,Yes,Might give me some new ideas for a story! ,2,$1.00,Female,,no,
33,pedagogical-1,18,Confused,,2,$.84,Female,English ,No,
21,pedagogical-1,28,Yes,No,3,Yes,Female,English,No,
23,pedagogical-1,28,Yes,,3,$0.50,Female,English,no,
145,pedagogical-1,29,Yes,No other comments,2,.60,Male,English,No problems or bugs in the experiment,
25,pedagogical-1,18,Confused,,1,,Male,Polish,,
143,pedagogical-1,35,Yes,No.,1,0.65,Male,English,None.,
35,pedagogical-1,26,Yes,,4,$0.5,Male,English,,
141,pedagogical-1,44,Yes,,4,at least $8/hr,Male,"english, greek",no,
29,pedagogical-1,22,,,3,,Female,English,No,
14,pedagogical-1,,,,-1,,,,,
18,pedagogical-1,37,Yes,--,3,current price seems fair,Other,English,no,
146,pedagogical-1,28,Yes,,4,$2,Male,english,,
28,pedagogical-1,25,Yes,"At the start, I thought the blicket was referring to the cloth covering the flower",3,$1,Female,Chinese,,
