workerid,proliferate.condition,total_time_in_seconds,error
96,pedagogical-2,198.037,
116,pedagogical-2,432.713,
112,pedagogical-2,176.09,
128,pedagogical-2,206.071,
64,pedagogical-2,234.941,
100,pedagogical-2,351.84,
88,pedagogical-2,166.722,
52,pedagogical-2,252.694,
56,pedagogical-2,253.477,
72,pedagogical-2,204.587,
80,pedagogical-2,880.313,
120,pedagogical-2,170.436,
92,pedagogical-2,168.069,
60,pedagogical-2,317.78,
108,pedagogical-2,443.975,
76,pedagogical-2,184.799,
104,pedagogical-2,104.093,
84,pedagogical-2,244.285,
124,pedagogical-2,408.249,
67,naive-2,339.274,
99,naive-2,491.158,
126,naive-2,704.321,
89,naive-2,292.147,
123,naive-2,187.84,
51,naive-2,226.46,
71,naive-2,703.807,
87,naive-2,560.345,
103,naive-2,199.441,
82,naive-2,1097.082,
63,naive-2,184.485,
59,naive-2,242.28,
118,naive-2,169.137,
55,naive-2,171.391,
105,naive-2,236.08,
115,naive-2,243.325,
79,naive-2,278.865,
94,naive-2,220.251,
74,naive-2,322.527,
111,naive-2,386.589,
119,naive-1,398.969,
98,naive-1,513.186,
83,naive-1,235.165,
91,naive-1,168.949,
54,naive-1,586.531,
114,naive-1,226.016,
95,naive-1,170.59,
62,naive-1,281.456,
110,naive-1,992.227,
78,naive-1,222.761,
70,naive-1,471.285,
122,naive-1,194.491,
86,naive-1,373.019,
107,naive-1,161.796,
50,naive-1,292.853,
58,naive-1,370.034,
66,naive-1,232.411,
75,naive-1,445.958,
36,accidental-1,437.018,
15,accidental-1,178.508,
150,accidental-1,309.351,
144,accidental-1,276.135,
34,accidental-1,174.47,
148,accidental-1,161.23,
17,accidental-1,244.044,
142,accidental-1,150.314,
20,accidental-1,127.902,
30,accidental-1,220.319,
27,accidental-1,187.481,
140,accidental-1,101.328,
26,accidental-1,199.125,
32,accidental-1,297.388,
147,accidental-1,287.232,
24,accidental-1,152.009,
22,accidental-1,280.389,
90,accidental-2,299.42,
53,accidental-2,169.517,
135,accidental-2,195.963,
57,accidental-2,178.351,
93,accidental-2,229.271,
139,accidental-2,337.672,
85,accidental-2,582.796,
134,accidental-2,375.628,
136,accidental-2,684.849,
65,accidental-2,407.184,
109,accidental-2,536.759,
129,accidental-2,225.711,
81,accidental-2,238.556,
138,accidental-2,155.454,
101,accidental-2,384.893,
77,accidental-2,200.168,
137,accidental-2,200.948,
133,accidental-2,243.066,
106,accidental-2,243.831,
125,accidental-2,176.131,
73,accidental-2,316.648,
69,accidental-2,213.349,
49,accidental-2,247.683,
132,accidental-2,362.329,
113,accidental-2,361.346,
97,accidental-2,379.146,
61,accidental-2,208.127,
131,accidental-2,272.676,
117,accidental-2,195.205,
121,accidental-2,391.797,
130,accidental-2,164.212,
149,pedagogical-1,263.633,
19,pedagogical-1,204.901,
31,pedagogical-1,265.131,
33,pedagogical-1,285.053,
21,pedagogical-1,156.518,
23,pedagogical-1,1407.23,
145,pedagogical-1,169.183,
25,pedagogical-1,227.378,
143,pedagogical-1,260.379,
35,pedagogical-1,311.934,
141,pedagogical-1,364.515,
29,pedagogical-1,387.307,
14,pedagogical-1,70.928,
18,pedagogical-1,341.202,
146,pedagogical-1,468.94,
28,pedagogical-1,327.979,
