workerid,proliferate.condition,correct_answer,is_correct,prompt,response,response_time_in_seconds,response_type,trial_num,trial_time_in_seconds,error
96,pedagogical-2,NA,True,Imagine that you come across another blicket. What are the chances that it has purple petals?,0.99,8.69,slider,1,35.388,
116,pedagogical-2,NA,True,Imagine that you come across another fep. What are the chances that it has purple petals?,0.51,32.21,slider,1,35.009,
112,pedagogical-2,NA,True,Imagine that you come across another fep. What are the chances that it squeaks?,0.99,6.749,slider,1,34.636,
128,pedagogical-2,NA,True,Imagine that you come across another blicket. What are the chances that it has purple petals?,0.74,9.047,slider,1,40.827,
64,pedagogical-2,NA,True,Imagine that you come across another fep. What are the chances that it has purple petals?,0.65,10.956,slider,1,34.757,
100,pedagogical-2,NA,True,Imagine that you come across another fep. What are the chances that it has purple petals?,0.49,20.646,slider,1,33.263,
88,pedagogical-2,NA,True,Imagine that you come across another dax. What are the chances that it squeaks?,0.97,8.025,slider,1,29.828,
52,pedagogical-2,NA,True,Imagine that you come across another fep. What are the chances that it has purple petals?,0.7,15.146,slider,1,43.301,
56,pedagogical-2,NA,True,Imagine that you come across another dax. What are the chances that it has purple petals?,0.85,5.484,slider,1,40.097,
72,pedagogical-2,NA,True,Imagine that you come across another dax. What are the chances that it has green feathers?,0.91,9.357,slider,1,32.639,
80,pedagogical-2,NA,True,Imagine that you come across another dax. What are the chances that it has green feathers?,0.61,23.631,slider,1,96.543,
120,pedagogical-2,NA,True,Imagine that you come across another dax. What are the chances that it has purple petals?,0.47,5.692,slider,1,34.772,
92,pedagogical-2,NA,True,Imagine that you come across another dax. What are the chances that it has purple petals?,1,9.534,slider,1,37.506,
60,pedagogical-2,NA,True,Imagine that you come across another dax. What are the chances that it has purple petals?,0.74,8.011,slider,1,33.838,
108,pedagogical-2,NA,True,Imagine that you come across another blicket. What are the chances that it has purple petals?,0.79,21.118,slider,1,72.607,
76,pedagogical-2,NA,True,Imagine that you come across another dax. What are the chances that it squeaks?,0.8,5.839,slider,1,33.983,
104,pedagogical-2,NA,True,Imagine that you come across another fep. What are the chances that it has purple petals?,0.94,4.079,slider,1,32.791,
84,pedagogical-2,NA,True,Imagine that you come across another blicket. What are the chances that it has green feathers?,0.74,12.316,slider,1,36.878,
