workerid,proliferate.condition,correct_answer,duration,is_correct,num_fails,prompt,response,response_type,responses,type,error
162,pedagogical-1,Jessica,9.428,,0,"Richard says to Jessica: ""It's a beautiful day, isn't it?"" Who is Richard talking to?",,,['Jessica'],attention,
162,pedagogical-1,tiger,19.556,,0,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",,,['tiger'],attention,
162,pedagogical-1,,5.816,,,,,,,introduction,
162,pedagogical-1,NA,5.91,True,,Imagine that you come across another dax. What are the chances that it squeaks?,0.86,slider,,,
162,pedagogical-1,dax,3.568,True,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,,,
162,pedagogical-1,NA,2.649,True,,Would you say the following is true?,yes,mc,,,
162,pedagogical-1,NA,6.106,True,,Please refer to the image below. Did this character know that daxes could squeak before you observed it together?,yes,mc,,,
162,pedagogical-1,been_while,6.618,True,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,,,
162,pedagogical-1,NA,100.905,True,,"In the text box below, please describe briefly what happened in this experiment.","As a scientist, I arrived on a new planet to study the plants, animals, and objects there. When I landed, I was greeted by another scientist (who was a bipedal elephant), who told me they had been working on the planet for a while and knew all about the plants, animals, and objects there. They then showed me a rounded, purple and white object. They identified it as a ""dax"" and showed me that it squeaked when pressed.",freeform,,,
158,pedagogical-1,Jennifer,8.223,,0,"Robert says to Jennifer: ""It's a beautiful day, isn't it?"" Who is Robert talking to?",,,['Jennifer'],attention,
158,pedagogical-1,shadow,13.183,,0,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",,,['Shadow'],attention,
158,pedagogical-1,,8.204,,,,,,,introduction,
158,pedagogical-1,NA,17.289,True,,Imagine that you come across another wug. What are the chances that it squeaks?,0.77,slider,,,
158,pedagogical-1,wug,4.8,True,,What is the name of the item you learned about? Please select its name from the options below.,wug,grid,,,
158,pedagogical-1,NA,5.452,True,,Would you say the following is true?,yes,mc,,,
158,pedagogical-1,NA,13.484,True,,Please refer to the image below. Did this character know that wugs could squeak before you observed it together?,yes,mc,,,
158,pedagogical-1,been_while,5.442,True,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,,,
158,pedagogical-1,NA,164.162,True,,"In the text box below, please describe briefly what happened in this experiment.",An animation was shown of a researcher demonstrating what a foreign object does and follow up questions were asked regarding the object and what it does.,freeform,,,
229,pedagogical-1,Linda,8.284,,0,"Richard says to Linda: ""It's a beautiful day, isn't it?"" Who is Richard talking to?",,,['Linda'],attention,
229,pedagogical-1,shadow,14.874,,0,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",,,['Shadow'],attention,
229,pedagogical-1,,8.168,,,,,,,introduction,
229,pedagogical-1,NA,8.189,True,,Imagine that you come across another dax. What are the chances that it has purple petals?,0.63,slider,,,
229,pedagogical-1,dax,6.285,True,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,,,
229,pedagogical-1,NA,4.06,True,,Would you say the following is true?,yes,mc,,,
229,pedagogical-1,NA,9.751,True,,Please refer to the image below. Did this character know that daxes could have purple petals before you observed it together?,yes,mc,,,
229,pedagogical-1,been_while,6.208,True,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,,,
229,pedagogical-1,NA,11.12,True,,"In the text box below, please describe briefly what happened in this experiment.",I talked to a bear about purple flowers ,freeform,,,
236,pedagogical-1,Susan,7.13,,0,"Joseph says to Susan: ""It's a beautiful day, isn't it?"" Who is Joseph talking to?",,,['susan'],attention,
236,pedagogical-1,tiger,14.956,,0,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",,,['tiger'],attention,
236,pedagogical-1,,10.218,,,,,,,introduction,
236,pedagogical-1,NA,7.143,True,,Imagine that you come across another fep. What are the chances that it has green feathers?,0.72,slider,,,
236,pedagogical-1,fep,4.165,True,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,,,
236,pedagogical-1,NA,4.694,True,,Would you say the following is true?,yes,mc,,,
236,pedagogical-1,NA,6.47,True,,Please refer to the image below. Did this character know that feps could have green feathers before you observed it together?,no,mc,,,
236,pedagogical-1,been_while,6.683,True,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,,,
236,pedagogical-1,NA,26.31,True,,"In the text box below, please describe briefly what happened in this experiment.",It showed a picture of a bird and called it a fep ,freeform,,,
203,pedagogical-1,Mary,10.461,,0,"Richard says to Mary: ""It's a beautiful day, isn't it?"" Who is Richard talking to?",,,['Mary'],attention,
203,pedagogical-1,tiger,13.557,,0,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",,,['Tiger'],attention,
203,pedagogical-1,,4.437,,,,,,,introduction,
203,pedagogical-1,NA,7.423,True,,Imagine that you come across another dax. What are the chances that it squeaks?,0.91,slider,,,
203,pedagogical-1,dax,3.364,True,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,,,
203,pedagogical-1,NA,2.461,True,,Would you say the following is true?,yes,mc,,,
203,pedagogical-1,NA,7.623,True,,Please refer to the image below. Did this character know that daxes could squeak before you observed it together?,yes,mc,,,
203,pedagogical-1,been_while,4.709,True,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,,,
203,pedagogical-1,NA,19.432,True,,"In the text box below, please describe briefly what happened in this experiment.","The researcher showed me a dax and showed me that it squeaks
",freeform,,,
216,pedagogical-1,Margaret,7.24,,0,"James says to Margaret: ""It's a beautiful day, isn't it?"" Who is James talking to?",,,['Margaret'],attention,
216,pedagogical-1,tiger,12.035,,0,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",,,['tiger'],attention,
216,pedagogical-1,,16.221,,,,,,,introduction,
216,pedagogical-1,NA,18.411,True,,Imagine that you come across another dax. What are the chances that it has green feathers?,0.49,slider,,,
216,pedagogical-1,dax,5.401,True,,What is the name of the item you learned about? Please select its name from the options below.,dax,grid,,,
216,pedagogical-1,NA,16.773,True,,Would you say the following is true?,yes,mc,,,
216,pedagogical-1,NA,5.34,True,,Please refer to the image below. Did this character know that daxes could have green feathers before you observed it together?,yes,mc,,,
216,pedagogical-1,been_while,4.016,True,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,,,
216,pedagogical-1,NA,61.001,True,,"In the text box below, please describe briefly what happened in this experiment.","I was told I was a scientist deployed to a faraway planet to do research on the native species there, and that I would work with another scientist. The scientist (who looked like a bear) showed me a bird (""dax"") in a tree and when it opened its wings the other scientist said ""See? Green feathers.""",freeform,,,
211,pedagogical-1,Susan,13.474,,0,"John says to Susan: ""It's a beautiful day, isn't it?"" Who is John talking to?",,,['Susan'],attention,
211,pedagogical-1,tiger,23.39,,0,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",,,['tiger'],attention,
211,pedagogical-1,,43.495,,,,,,,introduction,
211,pedagogical-1,NA,20.209,True,,Imagine that you come across another wug. What are the chances that it has purple petals?,1,slider,,,
211,pedagogical-1,wug,8.45,True,,What is the name of the item you learned about? Please select its name from the options below.,wug,grid,,,
211,pedagogical-1,NA,6.291,True,,Would you say the following is true?,yes,mc,,,
211,pedagogical-1,NA,11.224,True,,Please refer to the image below. Did this character know that wugs could have purple petals before you observed it together?,yes,mc,,,
211,pedagogical-1,been_while,9.44,True,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,,,
211,pedagogical-1,NA,45.824,True,,"In the text box below, please describe briefly what happened in this experiment.","I landed on another planet and met a scientist who had been there awhile and knew all about the plants, animals and other objects there. He showed me a wug and what a wug does. ",freeform,,,
195,pedagogical-1,Patricia,11.017,,0,"Michael says to Patricia: ""It's a beautiful day, isn't it?"" Who is Michael talking to?",,,['Patricia'],attention,
195,pedagogical-1,tiger,13.033,,0,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",,,['Tiger'],attention,
195,pedagogical-1,,3.998,,,,,,,introduction,
195,pedagogical-1,NA,6.201,True,,Imagine that you come across another fep. What are the chances that it squeaks?,0.73,slider,,,
195,pedagogical-1,fep,4.485,True,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,,,
195,pedagogical-1,NA,2.938,True,,Would you say the following is true?,yes,mc,,,
195,pedagogical-1,NA,7.94,True,,Please refer to the image below. Did this character know that feps could squeak before you observed it together?,yes,mc,,,
195,pedagogical-1,been_while,5.633,True,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,,,
195,pedagogical-1,NA,49.033,True,,"In the text box below, please describe briefly what happened in this experiment.","I watched a teddy bear scientist show me a glorified dog toy called a ""fep"" and I was asked questions on our interaction.",freeform,,,
184,pedagogical-1,Susan,13.805,,0,"James says to Susan: ""It's a beautiful day, isn't it?"" Who is James talking to?",,,['Susan'],attention,
184,pedagogical-1,shadow,16.749,,0,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",,,['shadow'],attention,
184,pedagogical-1,,2.953,,,,,,,introduction,
184,pedagogical-1,NA,7.209,True,,Imagine that you come across another fep. What are the chances that it squeaks?,0.43,slider,,,
184,pedagogical-1,fep,4.703,True,,What is the name of the item you learned about? Please select its name from the options below.,fep,grid,,,
184,pedagogical-1,NA,5.354,True,,Would you say the following is true?,yes,mc,,,
184,pedagogical-1,NA,7.884,True,,Please refer to the image below. Did this character know that feps could squeak before you observed it together?,yes,mc,,,
184,pedagogical-1,been_while,10.317,True,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,,,
184,pedagogical-1,NA,28.065,True,,"In the text box below, please describe briefly what happened in this experiment.",Its research about some things,freeform,,,
165,pedagogical-1,Susan,5.52,,0,"Charles says to Susan: ""It's a beautiful day, isn't it?"" Who is Charles talking to?",,,['susan'],attention,
165,pedagogical-1,tiger,12.708,,0,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",,,['tiger'],attention,
165,pedagogical-1,,4.932,,,,,,,introduction,
165,pedagogical-1,NA,5.816,True,,Imagine that you come across another wug. What are the chances that it has green feathers?,0.55,slider,,,
165,pedagogical-1,wug,4.405,True,,What is the name of the item you learned about? Please select its name from the options below.,wug,grid,,,
165,pedagogical-1,NA,3.601,True,,Would you say the following is true?,yes,mc,,,
165,pedagogical-1,NA,5.358,True,,Please refer to the image below. Did this character know that wugs could have green feathers before you observed it together?,yes,mc,,,
165,pedagogical-1,been_while,6.651,True,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,,,
165,pedagogical-1,NA,33.254,True,,"In the text box below, please describe briefly what happened in this experiment.","The character introduced me to a creature called a wug, and described it's appearance. ",freeform,,,
199,pedagogical-1,Linda,4.597,,0,"Joseph says to Linda: ""It's a beautiful day, isn't it?"" Who is Joseph talking to?",,,['Linda'],attention,
199,pedagogical-1,shadow,9.226,,0,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",,,['shadow'],attention,
199,pedagogical-1,,3.736,,,,,,,introduction,
199,pedagogical-1,NA,7.596,True,,Imagine that you come across another wug. What are the chances that it squeaks?,0.82,slider,,,
199,pedagogical-1,wug,4.945,True,,What is the name of the item you learned about? Please select its name from the options below.,wug,grid,,,
199,pedagogical-1,NA,3.398,True,,Would you say the following is true?,yes,mc,,,
199,pedagogical-1,NA,5.761,True,,Please refer to the image below. Did this character know that wugs could squeak before you observed it together?,yes,mc,,,
199,pedagogical-1,been_while,6.097,True,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,,,
199,pedagogical-1,NA,21.713,True,,"In the text box below, please describe briefly what happened in this experiment.",The monkey approached the wug and it squeaked without the wug being touched.,freeform,,,
167,pedagogical-1,Elizabeth,5.881,,0,"Charles says to Elizabeth: ""It's a beautiful day, isn't it?"" Who is Charles talking to?",,,['Elizabeth'],attention,
167,pedagogical-1,shadow,20.652,,0,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",,,['shadow'],attention,
167,pedagogical-1,,6.709,,,,,,,introduction,
167,pedagogical-1,NA,5.019,True,,Imagine that you come across another wug. What are the chances that it squeaks?,0.99,slider,,,
167,pedagogical-1,wug,3.242,True,,What is the name of the item you learned about? Please select its name from the options below.,wug,grid,,,
167,pedagogical-1,NA,1.887,True,,Would you say the following is true?,yes,mc,,,
167,pedagogical-1,NA,6.777,True,,Please refer to the image below. Did this character know that wugs could squeak before you observed it together?,yes,mc,,,
167,pedagogical-1,been_while,7.53,True,,"Please refer to the image below. Is this character a new researcher who just arrived here, or have they been doing research on this planet for a while?",been_while,mc,,,
167,pedagogical-1,NA,17.979,True,,"In the text box below, please describe briefly what happened in this experiment.","The creature told me they knew about the plants and other lifeforms, and showed me that a wug squeaked",freeform,,,
226,pedagogical-1,Jessica,16.951,,0,"Thomas says to Jessica: ""It's a beautiful day, isn't it?"" Who is Thomas talking to?",,,['Jessica'],attention,
226,pedagogical-1,shadow,31.974,,0,"Please adjust your system volume to a comfortable level. When you are ready, click the Test button. You will hear a word like ""skyscraper"". Enter the word you hear into the box below and click Continue when you are finished.",,,['Shadow'],attention,
226,pedagogical-1,,16.859,,,,,,,introduction,
226,pedagogical-1,NA,16.233,True,,Imagine that you come across another wug. What are the chances that it has purple petals?,0.6,slider,,,
226,pedagogical-1,wug,5.9,True,,What is the name of the item you learned about? Please select its name from the options below.,wug,grid,,,
226,pedagogical-1,NA,8.274,True,,Would you say the following is true?,yes,mc,,,
