workerid,proliferate.condition,Browser,OS,screenH,screenW,error
162,pedagogical-1,Chrome,Windows,768,1366,
158,pedagogical-1,Chrome,Windows,864,1536,
229,pedagogical-1,Safari,iPhone/iPod,812,375,
236,pedagogical-1,Chrome,Mac,800,1280,
203,pedagogical-1,Chrome,Windows,1440,2560,
216,pedagogical-1,Chrome,Windows,864,1536,
211,pedagogical-1,Chrome,Windows,768,1024,
195,pedagogical-1,Chrome,Mac,900,1440,
184,pedagogical-1,Firefox,Windows,768,1366,
165,pedagogical-1,Chrome,Mac,900,1440,
199,pedagogical-1,Chrome,Windows,864,1536,
167,pedagogical-1,Chrome,Mac,900,1440,
226,pedagogical-1,Chrome,Linux,640,360,
212,pedagogical-1,Firefox,Windows,864,1536,
174,pedagogical-1,Chrome,Mac,1080,1920,
190,pedagogical-1,Chrome,Windows,900,1440,
207,pedagogical-1,Firefox,Linux,900,1600,
178,pedagogical-1,Chrome,Windows,864,1536,
222,pedagogical-1,Chrome,Windows,1080,1920,
161,pedagogical-2,Chrome,Windows,768,1366,
219,pedagogical-2,Chrome,Windows,1080,1920,
186,pedagogical-2,Chrome,Mac,900,1440,
234,pedagogical-2,Firefox,Windows,768,1366,
238,pedagogical-2,Firefox,Mac,1080,1920,
202,pedagogical-2,Chrome,Windows,864,1536,
194,pedagogical-2,Chrome,Windows,768,1366,
210,pedagogical-2,Chrome,Windows,1080,1920,
225,pedagogical-2,Safari,iPhone/iPod,896,414,
157,pedagogical-2,Chrome,Windows,1043,1564,
206,pedagogical-2,Safari,iPhone/iPod,736,414,
173,pedagogical-2,Chrome,Windows,2160,3840,
182,pedagogical-2,Chrome,Windows,1080,2560,
189,pedagogical-2,Firefox,Windows,1080,1920,
170,pedagogical-2,Chrome,Windows,1024,1280,
166,pedagogical-2,Chrome,Windows,864,1536,
198,pedagogical-2,Chrome,Mac,900,1440,
177,pedagogical-2,Firefox,Windows,1152,2048,
230,pedagogical-2,Firefox,Windows,768,1366,
205,accidental-2,Chrome,Windows,864,1536,
176,accidental-2,Chrome,Windows,864,1536,
156,accidental-2,Chrome,Windows,1080,1920,
220,accidental-2,Chrome,Windows,900,1440,
181,accidental-2,Firefox,Windows,1080,1920,
209,accidental-2,Chrome,Linux,780,360,
160,accidental-2,Safari,iPhone/iPod,667,375,
218,accidental-2,Chrome,Mac,900,1440,
214,accidental-2,Chrome,Windows,864,1536,
224,accidental-2,Chrome,Windows,879,1561,
201,accidental-2,Safari,Mac,900,1440,
172,accidental-2,Chrome,Mac,900,1440,
188,accidental-2,Chrome,Windows,720,1280,
164,accidental-2,Firefox,Windows,768,1366,
197,accidental-2,Chrome,Mac,800,1280,
191,accidental-2,Chrome,Linux,869,412,
193,accidental-2,Chrome,Windows,768,1366,
232,accidental-2,Safari,Mac,800,1280,
228,accidental-2,Chrome,Mac,768,1366,
237,accidental-2,Firefox,Windows,768,1366,
231,accidental-1,Chrome,Windows,1080,1920,
213,accidental-1,Chrome,Windows,1440,2560,
163,accidental-1,Chrome,Mac,1050,1680,
223,accidental-1,Chrome,Windows,720,1280,
204,accidental-1,Firefox,Windows,768,1366,
183,accidental-1,Chrome,Mac,900,1440,
179,accidental-1,Firefox,Windows,900,1600,
159,accidental-1,Chrome,Windows,900,1440,
235,accidental-1,Chrome,Windows,1080,1920,
208,accidental-1,Chrome,Windows,1080,1920,
240,accidental-1,Chrome,Mac,900,1440,
200,accidental-1,Chrome,Windows,768,1366,
239,accidental-1,Chrome,Windows,768,1366,
175,accidental-1,Chrome,Windows,1080,1920,
217,accidental-1,Chrome,Windows,768,1366,
155,accidental-1,Chrome,Windows,720,1280,
168,accidental-1,Chrome,Windows,1080,1920,
192,accidental-1,Chrome,Windows,912,1368,
196,accidental-1,Chrome,Windows,1003,1504,
171,accidental-1,Safari,Mac,900,1440,
227,accidental-1,Firefox,Windows,1080,1920,
187,accidental-1,Chrome,Windows,864,1536,
