workerid,proliferate.condition,agent,background,environment,item_name,item_presentation_condition,n_examples,object,speaker,spoken_text,error
441,generic,"{'name': 'Dog', 'image': 'Dog_straight.png'}",6,"{'name': 'table', 'image': 'table.svg'}","{'plural': 'daxes', 'singular': 'dax'}",generic,1,"{'name': 'artifact', 'property': 'squeaking', 'open_image': 'artifact01_open.svg', 'closed_image': 'artifact01_closed.svg'}",tg,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Daxes squeak.', 'duration': 2500, 'slide_num': 2}]",
364,generic,"{'name': 'Dog', 'image': 'Dog_straight.png'}",5,"{'name': 'table', 'image': 'table.svg'}","{'plural': 'wugs', 'singular': 'wug'}",generic,1,"{'name': 'artifact', 'property': 'squeaking', 'open_image': 'artifact01_open.svg', 'closed_image': 'artifact01_closed.svg'}",sb,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Wugs squeak.', 'duration': 2500, 'slide_num': 2}]",
419,generic,"{'name': 'Bear', 'image': 'Bear_straight.png'}",5,"{'name': 'tree', 'image': 'tree.svg'}","{'plural': 'daxes', 'singular': 'dax'}",generic,1,"{'name': 'bird', 'property': 'green feathers', 'open_image': 'bird02_open.svg', 'closed_image': 'bird02_closed.svg'}",mh,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Daxes have green feathers.', 'duration': 3000, 'slide_num': 2}]",
435,generic,"{'name': 'Sheep', 'image': 'Sheep_straight.png'}",3,"{'name': 'dirt', 'image': 'dirt.svg'}","{'plural': 'daxes', 'singular': 'dax'}",generic,1,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",sb,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Daxes have purple petals.', 'duration': 3000, 'slide_num': 2}]",
381,generic,"{'name': 'Sheep', 'image': 'Sheep_straight.png'}",1,"{'name': 'dirt', 'image': 'dirt.svg'}","{'plural': 'wugs', 'singular': 'wug'}",generic,1,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",mh,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Wugs have purple petals.', 'duration': 3000, 'slide_num': 2}]",
406,generic,"{'name': 'Dog', 'image': 'Dog_straight.png'}",5,"{'name': 'tree', 'image': 'tree.svg'}","{'plural': 'daxes', 'singular': 'dax'}",generic,1,"{'name': 'bird', 'property': 'green feathers', 'open_image': 'bird02_open.svg', 'closed_image': 'bird02_closed.svg'}",mh,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Daxes have green feathers.', 'duration': 3000, 'slide_num': 2}]",
326,generic,"{'name': 'Tiger', 'image': 'Tiger_straight.png'}",7,"{'name': 'dirt', 'image': 'dirt.svg'}","{'plural': 'feps', 'singular': 'fep'}",generic,1,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",mh,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Feps have purple petals.', 'duration': 3000, 'slide_num': 2}]",
304,generic,"{'name': 'Bear', 'image': 'Bear_straight.png'}",3,"{'name': 'tree', 'image': 'tree.svg'}","{'plural': 'wugs', 'singular': 'wug'}",generic,1,"{'name': 'bird', 'property': 'green feathers', 'open_image': 'bird02_open.svg', 'closed_image': 'bird02_closed.svg'}",sb,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Wugs have green feathers.', 'duration': 3000, 'slide_num': 2}]",
346,generic,"{'name': 'Sheep', 'image': 'Sheep_straight.png'}",9,"{'name': 'table', 'image': 'table.svg'}","{'plural': 'daxes', 'singular': 'dax'}",generic,1,"{'name': 'artifact', 'property': 'squeaking', 'open_image': 'artifact01_open.svg', 'closed_image': 'artifact01_closed.svg'}",mh,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Daxes squeak.', 'duration': 2500, 'slide_num': 2}]",
310,generic,"{'name': 'Bear', 'image': 'Bear_straight.png'}",8,"{'name': 'table', 'image': 'table.svg'}","{'plural': 'wugs', 'singular': 'wug'}",generic,1,"{'name': 'artifact', 'property': 'squeaking', 'open_image': 'artifact01_open.svg', 'closed_image': 'artifact01_closed.svg'}",tg,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Wugs squeak.', 'duration': 2500, 'slide_num': 2}]",
321,generic,"{'name': 'Bear', 'image': 'Bear_straight.png'}",5,"{'name': 'dirt', 'image': 'dirt.svg'}","{'plural': 'feps', 'singular': 'fep'}",generic,1,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",mh,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Feps have purple petals.', 'duration': 3000, 'slide_num': 2}]",
382,generic,"{'name': 'Elephant', 'image': 'Elephant_straight.png'}",2,"{'name': 'tree', 'image': 'tree.svg'}","{'plural': 'feps', 'singular': 'fep'}",generic,1,"{'name': 'bird', 'property': 'green feathers', 'open_image': 'bird02_open.svg', 'closed_image': 'bird02_closed.svg'}",tg,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Feps have green feathers.', 'duration': 3000, 'slide_num': 2}]",
339,generic,"{'name': 'Elephant', 'image': 'Elephant_straight.png'}",2,"{'name': 'dirt', 'image': 'dirt.svg'}","{'plural': 'wugs', 'singular': 'wug'}",generic,1,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",tg,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Wugs have purple petals.', 'duration': 3000, 'slide_num': 2}]",
388,generic,"{'name': 'Monkey', 'image': 'Monkey_straight.png'}",8,"{'name': 'dirt', 'image': 'dirt.svg'}","{'plural': 'feps', 'singular': 'fep'}",generic,1,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",tg,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Feps have purple petals.', 'duration': 3000, 'slide_num': 2}]",
399,generic,"{'name': 'Elephant', 'image': 'Elephant_straight.png'}",9,"{'name': 'table', 'image': 'table.svg'}","{'plural': 'daxes', 'singular': 'dax'}",generic,1,"{'name': 'artifact', 'property': 'squeaking', 'open_image': 'artifact01_open.svg', 'closed_image': 'artifact01_closed.svg'}",tg,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Daxes squeak.', 'duration': 2500, 'slide_num': 2}]",
444,generic,"{'name': 'Bear', 'image': 'Bear_straight.png'}",4,"{'name': 'dirt', 'image': 'dirt.svg'}","{'plural': 'feps', 'singular': 'fep'}",generic,1,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",mh,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Feps have purple petals.', 'duration': 3000, 'slide_num': 2}]",
413,generic,"{'name': 'Elephant', 'image': 'Elephant_straight.png'}",10,"{'name': 'table', 'image': 'table.svg'}","{'plural': 'daxes', 'singular': 'dax'}",generic,1,"{'name': 'artifact', 'property': 'squeaking', 'open_image': 'artifact01_open.svg', 'closed_image': 'artifact01_closed.svg'}",tg,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Daxes squeak.', 'duration': 2500, 'slide_num': 2}]",
374,generic,"{'name': 'Elephant', 'image': 'Elephant_straight.png'}",6,"{'name': 'tree', 'image': 'tree.svg'}","{'plural': 'feps', 'singular': 'fep'}",generic,1,"{'name': 'bird', 'property': 'green feathers', 'open_image': 'bird02_open.svg', 'closed_image': 'bird02_closed.svg'}",tg,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Feps have green feathers.', 'duration': 3000, 'slide_num': 2}]",
450,generic,"{'name': 'Tiger', 'image': 'Tiger_straight.png'}",7,"{'name': 'dirt', 'image': 'dirt.svg'}","{'plural': 'feps', 'singular': 'fep'}",generic,1,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",sb,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Feps have purple petals.', 'duration': 3000, 'slide_num': 2}]",
380,generic,"{'name': 'Dog', 'image': 'Dog_straight.png'}",2,"{'name': 'table', 'image': 'table.svg'}","{'plural': 'feps', 'singular': 'fep'}",generic,1,"{'name': 'artifact', 'property': 'squeaking', 'open_image': 'artifact01_open.svg', 'closed_image': 'artifact01_closed.svg'}",sb,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Feps squeak.', 'duration': 2500, 'slide_num': 2}]",
429,generic,"{'name': 'Sheep', 'image': 'Sheep_straight.png'}",6,"{'name': 'tree', 'image': 'tree.svg'}","{'plural': 'daxes', 'singular': 'dax'}",generic,1,"{'name': 'bird', 'property': 'green feathers', 'open_image': 'bird02_open.svg', 'closed_image': 'bird02_closed.svg'}",sb,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Daxes have green feathers.', 'duration': 3000, 'slide_num': 2}]",
354,generic,"{'name': 'Elephant', 'image': 'Elephant_straight.png'}",5,"{'name': 'tree', 'image': 'tree.svg'}","{'plural': 'feps', 'singular': 'fep'}",generic,1,"{'name': 'bird', 'property': 'green feathers', 'open_image': 'bird02_open.svg', 'closed_image': 'bird02_closed.svg'}",sb,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Feps have green feathers.', 'duration': 3000, 'slide_num': 2}]",
401,generic,"{'name': 'Tiger', 'image': 'Tiger_straight.png'}",6,"{'name': 'table', 'image': 'table.svg'}","{'plural': 'wugs', 'singular': 'wug'}",generic,1,"{'name': 'artifact', 'property': 'squeaking', 'open_image': 'artifact01_open.svg', 'closed_image': 'artifact01_closed.svg'}",sb,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Wugs squeak.', 'duration': 2500, 'slide_num': 2}]",
362,generic,"{'name': 'Monkey', 'image': 'Monkey_straight.png'}",7,"{'name': 'dirt', 'image': 'dirt.svg'}","{'plural': 'daxes', 'singular': 'dax'}",generic,1,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",sb,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Daxes have purple petals.', 'duration': 3000, 'slide_num': 2}]",
333,generic,"{'name': 'Tiger', 'image': 'Tiger_straight.png'}",6,"{'name': 'tree', 'image': 'tree.svg'}","{'plural': 'daxes', 'singular': 'dax'}",generic,1,"{'name': 'bird', 'property': 'green feathers', 'open_image': 'bird02_open.svg', 'closed_image': 'bird02_closed.svg'}",sb,"[{'text': ""Hello! I've been doing research on this planet for a while."", 'duration': 5525, 'slide_num': 1}, {'text': 'I know all about the animals, plants, and objects here.', 'duration': 5550, 'slide_num': 1}, {'text': 'I have something to tell you...', 'duration': 2500, 'slide_num': 2}, {'text': 'Daxes have green feathers.', 'duration': 3000, 'slide_num': 2}]",
315,accidental-2,"{'name': 'Elephant', 'image': 'Elephant_straight.png'}",8,"{'name': 'dirt', 'image': 'dirt.svg'}","{'plural': 'daxes', 'singular': 'dax'}",accidental,2,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",mh,"[{'text': 'Hello! I am a new researcher. I just arrived on this planet.', 'duration': 5500, 'slide_num': 1}, {'text': ""I don't know anything about the animals, plants, or objects here."", 'duration': 6000, 'slide_num': 1}, {'text': 'Hmm, I wonder what we have here.', 'duration': 3500, 'slide_num': 2}, {'text': 'Oh, I see! These are daxes.', 'duration': 4000, 'slide_num': 2}, {'text': 'Oh wow! Purple petals!', 'duration': 3500, 'slide_num': 3}]",
320,accidental-2,"{'name': 'Sheep', 'image': 'Sheep_straight.png'}",2,"{'name': 'dirt', 'image': 'dirt.svg'}","{'plural': 'wugs', 'singular': 'wug'}",accidental,2,"{'name': 'flower', 'property': 'purple petals', 'open_image': 'flower01_open.svg', 'closed_image': 'flower01_closed.svg'}",tg,"[{'text': 'Hello! I am a new researcher. I just arrived on this planet.', 'duration': 5500, 'slide_num': 1}, {'text': ""I don't know anything about the animals, plants, or objects here."", 'duration': 6000, 'slide_num': 1}, {'text': 'Hmm, I wonder what we have here.', 'duration': 3500, 'slide_num': 2}, {'text': 'Oh, I see! These are wugs.', 'duration': 4000, 'slide_num': 2}, {'text': 'Oh wow! Purple petals!', 'duration': 3500, 'slide_num': 3}]",
417,accidental-2,"{'name': 'Tiger', 'image': 'Tiger_straight.png'}",8,"{'name': 'tree', 'image': 'tree.svg'}","{'plural': 'daxes', 'singular': 'dax'}",accidental,2,"{'name': 'bird', 'property': 'green feathers', 'open_image': 'bird02_open.svg', 'closed_image': 'bird02_closed.svg'}",tg,"[{'text': 'Hello! I am a new researcher. I just arrived on this planet.', 'duration': 5500, 'slide_num': 1}, {'text': ""I don't know anything about the animals, plants, or objects here."", 'duration': 6000, 'slide_num': 1}, {'text': 'Hmm, I wonder what we have here.', 'duration': 3500, 'slide_num': 2}, {'text': 'Oh, I see! These are daxes.', 'duration': 4000, 'slide_num': 2}, {'text': 'Oh wow! Green feathers!', 'duration': 3500, 'slide_num': 3}]",
350,accidental-2,"{'name': 'Elephant', 'image': 'Elephant_straight.png'}",10,"{'name': 'tree', 'image': 'tree.svg'}","{'plural': 'wugs', 'singular': 'wug'}",accidental,2,"{'name': 'bird', 'property': 'green feathers', 'open_image': 'bird02_open.svg', 'closed_image': 'bird02_closed.svg'}",tg,"[{'text': 'Hello! I am a new researcher. I just arrived on this planet.', 'duration': 5500, 'slide_num': 1}, {'text': ""I don't know anything about the animals, plants, or objects here."", 'duration': 6000, 'slide_num': 1}, {'text': 'Hmm, I wonder what we have here.', 'duration': 3500, 'slide_num': 2}, {'text': 'Oh, I see! These are wugs.', 'duration': 4000, 'slide_num': 2}, {'text': 'Oh wow! Green feathers!', 'duration': 3500, 'slide_num': 3}]",
