workerid,proliferate.condition,age,assess,comments,education,fairprice,gender,language,problems,error
586,pedagogical-3,37,Yes,no,4,£0.63,Male,english,no,
560,pedagogical-3,22,Yes,,2,.89,Male,,No,
514,pedagogical-3,23,Yes,N/A,2,10.00,Male,Spanish,No,
520,pedagogical-3,29,Yes,No,1,0.60,Male,English ,No,
607,pedagogical-3,40,Yes,No,2,.75,Female,English,No,
619,pedagogical-3,25,Yes,no,2,$0.25,Female,English,no,
651,pedagogical-3,25,Yes,,3,Same as stated,Female,English,No,
548,pedagogical-3,32,Yes,,3,Sure,Male,English,No,
603,pedagogical-3,18,No,,2,1.00,Male,english,no,
518,pedagogical-3,47,Yes,Nothing else to contribute,2,85 cents,Male,English,no,
544,pedagogical-3,26,Yes,,3,$.20,Female,English,No,
554,pedagogical-3,31,Yes,,2,yes,Female,English,None,
528,pedagogical-3,23,Yes,,3,0.80,Male,English,,
564,pedagogical-3,22,Yes,Cute animation,2,65 cents,Female,English,No,
623,pedagogical-3,29,Yes,no,3,.75,Male,english,no,
540,pedagogical-3,18,No,"Cute test, fast and easy.",1,1.00,Female,English,"no, the experiment went smoothly.",
577,pedagogical-3,21,Yes,,2,1.00,Male,English,,
534,pedagogical-3,35,Yes,"No, thanks.",2,.75,Male,english,"No issues, thanks",
631,pedagogical-3,20,Confused,,2,yes,Female,Mandarin,,
532,pedagogical-3,31,Yes,,4,0.50,Male,English,,
526,pedagogical-3,28,Yes,,2,.75,Female,english,no,
582,pedagogical-3,40,Yes,,3,45 cents,Male,Spanish,no,
591,pedagogical-3,24,Yes,,3,.50,Female,English,,
595,pedagogical-3,20,Yes,,2,.30,Male,Korean,No,
530,pedagogical-3,35,No,,3,$2,Male,Spanish,No,
538,pedagogical-3,35,Yes,,2,,Female,English ,No,
522,pedagogical-3,65,Yes,NO,4,Yes,Male,Engliwh,No,
639,pedagogical-3,28,Yes,,3,The compensation that was offered,Female,English,no,
552,pedagogical-3,28,Yes,no,3,$1,Female,"English, Chinese",no,
656,pedagogical-3,21,Yes,,2,"
.50",Male,English,no,
647,pedagogical-3,26,Yes,,3,$1,Female,English,The landing page was loading for me for a long time before I just hit refresh and it loaded fine the second time.,
635,pedagogical-3,41,Yes,,3,.70,Female,English,No.,
655,pedagogical-3,30,Yes,no,3,1.00,Female,"Spanish, English",no,
615,pedagogical-3,32,Yes,,4,$1,Male,English,No,
516,pedagogical-3,36,Yes,,3,,Female,English,no,
546,pedagogical-3,23,Yes,,2,$0.84,Male,English,,
558,pedagogical-3,61,Yes,i wish this were a longer survey...it was enjoyable,2,whatever..I just enjoy doing these surveys,Male,English,no,
660,pedagogical-3,34,Yes,,2,.50,Male,english,No,
643,pedagogical-3,20,Yes,,2,,Female,"English, Vietnamese",No,
550,pedagogical-3,39,Yes,THe womans voice/talking style was creepy,1,,Female,english,no,
664,pedagogical-3,40,Yes,,3,$1,Female,,No,
542,pedagogical-3,32,No,,1,60 cents,Male,english,,
536,pedagogical-3,28,Yes,,2,1.00,Male,english, no,
568,pedagogical-3,52,Yes,no,1,.50,Female,English,no,
512,pedagogical-3,22,Yes,,3,yes,Female,english,no,
611,pedagogical-3,24,Yes,"Thank you for the opportunity to take part in this experiment! The dog scientist was kind of creepy, just saying.",2,,Male,English,Nope.,
556,pedagogical-3,26,Confused,,3,.10,Female,english,,
627,pedagogical-3,44,Yes,,3,think so,Male,English,no,
572,pedagogical-3,48,Yes,i enjoyed this survey studies.,3,Yes,Male,English,NO,
524,pedagogical-3,47,Yes,,4,.50,Male,english,no,
650,generic,23,Yes,,3,£0.63,Female,English,no,
646,generic,18,Yes,,1,.40,Male,Spanish,,
594,generic,19,Yes,,2,.63p,Female,English,no,
571,generic,21,No,,2,$.50,Female,english,no,
598,generic,43,Yes,,1,25c,Female,english,No,
654,generic,23,No,,3,.61,Male,English,no,
606,generic,30,Yes,None,4,10/hr,Female,English,None,
630,generic,32,Yes,,2,.75,Male,English,No,
638,generic,52,Yes,,3,,Male,English,no,
626,generic,49,Yes,,2,.25,Male,English,no,
590,generic,25,Yes,,2,$1.50,Other,English,No,
563,generic,31,Yes,,1,$1,Male,English,no,
666,generic,35,Yes,I don't think it was exactly about language. ,3,.50,Female,English,no,
602,generic,26,Yes,no,3,yes,Female,english,no,
575,generic,42,Yes,no,4,yes,Male,English,no,
585,generic,20,Yes,,2,$0.60,Female,English,no,
622,generic,29,Yes,,2,.50,Female,english,no,
581,generic,34,Yes,No,3,$1,Male,English,No,
567,generic,39,Yes,None aside from the fact that I enjoyed doing this.,2,0.25,Female,English,"None, it all went well.",
634,generic,27,Yes,,3,1.00,Male,English,No,
642,generic,35,Yes,,2,0.63,Female,English,No,
659,generic,37,Yes,,3,.60,Other,English,no,
663,generic,34,Yes,,2,$0.75,Male,Gujarati,,
